MuiStack-root href,MuiBox-root src,MuiTypography-root,MuiTypography-root 2,MuiTypography-root 3,notranslate,MuiTypography-root 4,MuiButtonBase-root 3
https://portalb2b.neosolar.com.br/novo-pedido/produto/20080,https://portal.zydon.com.br/api/files/1e827928-2371-42d5-95c3-d75a14e2b393/content?ingress=portalb2b.neosolar.com.br,"Cabo para Carro Elétrico NeoCharge NCT1 até 7,4 kW T2/T1 32A",---,"R$ 469,27",​,,
https://portalb2b.neosolar.com.br/novo-pedido/produto/21709,https://portal.zydon.com.br/api/files/60966bed-8252-49ec-b331-d7fb6dd0d318/content?ingress=portalb2b.neosolar.com.br,"Carregador Carro Elétrico Portátil NeoCharge NC202 - 7,4kW - Tomada 32A",Entrada: 220Vca - 32A | Saída: 10 a 32A (Regulável) | Plugue: Tipo 2 | C/ Timer,"R$ 1.275,77",​,Entrada: 220Vca - 32A | Saída: 10 a 32A (Regulável) | Plugue: Tipo 2 | C/ Timer,
https://portalb2b.neosolar.com.br/novo-pedido/produto/21708,https://portal.zydon.com.br/api/files/05906428-f064-4940-ac7d-73741f8822fe/content?ingress=portalb2b.neosolar.com.br,"Carregador Carro Elétrico Portátil NeoCharge NC102 - 3,7kW - Tomada BR (16A)",Entrada: 127/220Vca - 16A | Saída: 6 a 16A (Regulável) | Plugue: Tipo 2 | C/ Timer,"R$ 960,36",​,Entrada: 127/220Vca - 16A | Saída: 6 a 16A (Regulável) | Plugue: Tipo 2 | C/ Timer,
https://portalb2b.neosolar.com.br/novo-pedido/produto/21564,https://portal.zydon.com.br/api/files/62e91eb0-eb7e-4dbe-9cfb-4bb58860372c/content?ingress=portalb2b.neosolar.com.br,"Carregador Carro Elétrico Wallbox NeoCharge NC5000 - 7,4 kW",Entrada: 220Vca - 32A | Wifi/RFID/4G(Opcional) | OCPP 1.6 | Plugue: Tipo 2 | Cabo 5m | IP65,"R$ 2.844,26",​,Entrada: 220Vca - 32A | Wifi/RFID/4G(Opcional) | OCPP 1.6 | Plugue: Tipo 2 | Cabo 5m | IP65,
https://portalb2b.neosolar.com.br/novo-pedido/produto/24245,https://portal.zydon.com.br/api/files/ccd6560f-5139-4240-85c0-178a95f119f7/content?ingress=portalb2b.neosolar.com.br,Carregador Carro Elétrico Rápido DC NeoCharge - 30kW - NDC30,1 Cabo | Máx: 30kW | Entrada: 380Vac | Saída: 200 a 1000Vcc - 80A | Ethernet/Wi-Fi/4G | OCPP 1.6,"R$ 37.265,20",​,1 Cabo | Máx: 30kW | Entrada: 380Vac | Saída: 200 a 1000Vcc - 80A | Ethernet/Wi-Fi/4G | OCPP 1.6,
https://portalb2b.neosolar.com.br/novo-pedido/produto/24166,https://portal.zydon.com.br/api/files/768f628b-9b0b-42d9-a498-e91cc1369bd2/content?ingress=portalb2b.neosolar.com.br,Quadro de Proteção NeoCharge - NCP-A20 (7kW - Tipo A),Corrente: 32A | Potência: 7kW | Rede: Mono / Bifásica / Trifásica | Grau de Proteção: IP65 | Tipo: A,"R$ 466,54",​,Corrente: 32A | Potência: 7kW | Rede: Mono / Bifásica / Trifásica | Grau de Proteção: IP65 | Tipo: A,
https://portalb2b.neosolar.com.br/novo-pedido/produto/22397,https://portal.zydon.com.br/api/files/d4434c6b-4410-4095-a251-1c921d294fbe/content?ingress=portalb2b.neosolar.com.br,"Carregador Carro Elétrico Portátil NeoCharge NC302 - 7,4kW - MultiPlug",Entrada: 220Vca - 32A | Saída: 6 a 32A (Regulável) | Plugue: Tipo 2 | C/ Timer,"R$ 2.214,31",​,Entrada: 220Vca - 32A | Saída: 6 a 32A (Regulável) | Plugue: Tipo 2 | C/ Timer,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20359,https://portal.zydon.com.br/api/files/2a674f0d-08c6-4880-a2e0-c74d5718d3f0/content?ingress=portalb2b.neosolar.com.br,Quadro de proteção NeoCharge - NCP-B30 (22kW - Tipo B),---,"R$ 653,94",​,,
https://portalb2b.neosolar.com.br/novo-pedido/produto/22724,https://portal.zydon.com.br/api/files/055c6b19-17a8-48f8-8d1a-9f5121f5f0ca/content?ingress=portalb2b.neosolar.com.br,Totem p/ Carregador Carro Elétrico NeoCharge NCT20-B - Estação de Recarga,Totem de Aço com Alta Qualidade para Carregador de Veículo Elétrico.,"R$ 2.055,84",​,Totem de Aço com Alta Qualidade para Carregador de Veículo Elétrico.,
https://portalb2b.neosolar.com.br/novo-pedido/produto/24798,https://portal.zydon.com.br/api/files/77680081-a679-4799-9a7b-e0c71a08bd89/content?ingress=portalb2b.neosolar.com.br,Pedestal de Alumínio p/ Carregador Carro Elétrico NeoCharge NCT10-F,"Torre e base | 1,3 metro | Suporte p/ cabo e plugue T2 | Cobertura de proteção | Kit de fixação","R$ 3.606,22",​,"Torre e base | 1,3 metro | Suporte p/ cabo e plugue T2 | Cobertura de proteção | Kit de fixação",
https://portalb2b.neosolar.com.br/novo-pedido/produto/23072,https://portal.zydon.com.br/api/files/a21ae089-8e1c-4df3-91b0-b3650afa2f65/content?ingress=portalb2b.neosolar.com.br,"Quadro de proteção NeoCharge - NCP-A20-M - 7,4 kW - Tipo A - Medidor","Corrente: 32A | Potência: 7,4 kW | Rede: Mono / Bifásica | Grau de Proteção: IP65 | Tipo: A",,,"Corrente: 32A | Potência: 7,4 kW | Rede: Mono / Bifásica | Grau de Proteção: IP65 | Tipo: A",Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/22725,https://portal.zydon.com.br/api/files/e4ab1582-94a1-43ff-b504-fde3fc368c47/content?ingress=portalb2b.neosolar.com.br,Totem Duplo p/ Carregador Carro Elétrico NeoCharge NCT30-B - Estação de Recarga,Totem Duplo de Aço com Alta Qualidade para Carregador de Veículo Elétrico.,"R$ 2.268,59",​,Totem Duplo de Aço com Alta Qualidade para Carregador de Veículo Elétrico.,
https://portalb2b.neosolar.com.br/novo-pedido/produto/21565,https://portal.zydon.com.br/api/files/21b9869d-bed5-4b99-a5c0-bd0b79d68556/content?ingress=portalb2b.neosolar.com.br,Carregador Carro Elétrico Wallbox NeoCharge NC6000 - 22kW,Entrada: 3F 380/220Vca - 32A | Wifi/RFID/4G(Opcional) | OCPP 1.6 | Plugue: Tipo 2 | Cabo 5m | IP65,"R$ 3.296,89",​,Entrada: 3F 380/220Vca - 32A | Wifi/RFID/4G(Opcional) | OCPP 1.6 | Plugue: Tipo 2 | Cabo 5m | IP65,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23071,https://portal.zydon.com.br/api/files/c5abda00-b20a-43fa-a194-3d21782c7d24/content?ingress=portalb2b.neosolar.com.br,"Quadro de Proteção NeoCharge - NCP-A20-MT – 7,4kW - Tipo A – Medidor e Tomada","Corrente: 32A | Potência: 7,4 kW | Rede: Mono / Bifásica | Grau de Proteção: IP65 | Tipo: A",,,"Corrente: 32A | Potência: 7,4 kW | Rede: Mono / Bifásica | Grau de Proteção: IP65 | Tipo: A",Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/24241,https://portal.zydon.com.br/api/files/83c0cc7b-c2dd-484f-847b-949852272355/content?ingress=portalb2b.neosolar.com.br,Carregador Carro Elétrico Rápido DC NeoCharge - 60kW - NDC60,2 Cabos | Máx: 60kW | Entrada: 400Vac | Saída: 200 a 1000Vcc - 150A | Ethernet/Wi-Fi/4G | OCPP 1.6,"R$ 74.537,85",​,2 Cabos | Máx: 60kW | Entrada: 400Vac | Saída: 200 a 1000Vcc - 150A | Ethernet/Wi-Fi/4G | OCPP 1.6,
https://portalb2b.neosolar.com.br/novo-pedido/produto/24349,https://portal.zydon.com.br/api/files/a888aa25-281a-4b21-a5c7-ef554b28df53/content?ingress=portalb2b.neosolar.com.br,Cabo de Descarga V2L Carro Elétrico NeoCharge NCV2L - T2-BR 16A,"Cabo para carregador de Carro Elétrico da marca NeoCharge, modelo NCV2L - T2-BR até 16A para recarga de veículo elétrico.","R$ 420,28",​,"Cabo para carregador de Carro Elétrico da marca NeoCharge, modelo NCV2L - T2-BR até 16A para recarga de veículo elétrico.",
https://portalb2b.neosolar.com.br/novo-pedido/produto/23500,https://portal.zydon.com.br/api/files/aae39346-d6c0-48ec-9cbf-06356e6ee357/content?ingress=portalb2b.neosolar.com.br,Totem p/ Carregador Carro Elétrico NeoCharge - Compatível com Carregador Rápido DC NDC30 - 30 kW,Totem de Aço com Alta Qualidade para Carregador de Veículo Elétrico - Compatível com Carregador NDC-30.,"R$ 3.969,80",​,Totem de Aço com Alta Qualidade para Carregador de Veículo Elétrico - Compatível com Carregador NDC-30.,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20358,https://portal.zydon.com.br/api/files/c96f0839-00a0-40cb-8b6a-57896fcc94da/content?ingress=portalb2b.neosolar.com.br,Quadro de proteção NeoCharge - NCP-A30 (22kW - Tipo A),---,"R$ 508,46",​,,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20107,https://portal.zydon.com.br/api/files/9f4cb869-11c8-47fd-b646-ed259a55796b/content?ingress=portalb2b.neosolar.com.br,"Carregador Carro Elétrico Portátil NeoCharge NC200 - 7,4kW - T2","Carregador de Carro Elétrico Portátil com potência até 7,4 kW, um plugue/tomada Tipo 2 para carregamento e bolsa para transporte. Indicado para recargas emergenciais e conta com garantia de 12 meses contra defeito de fabricação.","R$ 1.924,86",​,"Carregador de Carro Elétrico Portátil com potência até 7,4 kW, um plugue/tomada Tipo 2 para carregamento e bolsa para transporte. Indicado para recargas emergenciais e conta com garantia de 12 meses contra defeito de fabricação.",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20112,https://portal.zydon.com.br/api/files/fd96bb77-1cc9-4afc-a61f-2157dd9b80b4/content?ingress=portalb2b.neosolar.com.br,"Carregador Carro Elétrico Smart Wallbox NeoCharge NC3000S 7,4 kW T2","Carregador de Carro Elétrico Smart Wallbox NeoCharge com potência até 7,4 kW e cabo Tipo 2 incluso. Apresenta função Smart para controle e monitoramento. Pode ser instalado em parede ou totem, na área interna ou externa. Conta com garantia de 1 ano contra defeito de fabricação.","R$ 2.694,08",​,"Carregador de Carro Elétrico Smart Wallbox NeoCharge com potência até 7,4 kW e cabo Tipo 2 incluso. Apresenta função Smart para controle e monitoramento. Pode ser instalado em parede ou totem, na área interna ou externa. Conta com garantia de 1 ano contra defeito de fabricação.",
https://portalb2b.neosolar.com.br/novo-pedido/produto/20079,https://portal.zydon.com.br/api/files/5e7ac909-eab2-407d-b27e-9df3de92071e/content?ingress=portalb2b.neosolar.com.br,"Cabo para Carro Elétrico NeoCharge NCGB até 7,4kW - T2-GB/T 32A",---,"R$ 440,66",​,,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23354,https://portal.zydon.com.br/api/files/12f07cf4-102a-4c6a-9453-ba168dbb3c84/content?ingress=portalb2b.neosolar.com.br,Carregador Carro Elétrico DC NeoCharge - NDC30 - 30kW,Carregador de Carro Elétrico DC NeoCharge com potência até 30 kW com plug Tipo CCS2. Apresenta função Smart para controle e monitoramento. Recarrega o carro elétrico entre 40 a 80 minutos. Conta com garantia de 2 anos contra defeito de fabricação.,"R$ 37.265,20",,Carregador de Carro Elétrico DC NeoCharge com potência até 30 kW com plug Tipo CCS2. Apresenta função Smart para controle e monitoramento. Recarrega o carro elétrico entre 40 a 80 minutos. Conta com garantia de 2 anos contra defeito de fabricação.,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/23355,https://portal.zydon.com.br/api/files/80d7fb42-4e73-4556-98ba-2e9cf941c416/content?ingress=portalb2b.neosolar.com.br,Carregador Carro Elétrico DC NeoCharge - NDC60 - 60kW,"Carregador de Carro Elétrico DC NeoCharge com potência até 60 kW com plug Tipo CCS2. Apresenta função Smart para controle e monitoramento. Recarrega o carro elétrico entre 20 a 40 minutos, utilizando apena um dos plugues ou 40 a 80 minutos, quando os dois plugues são utilizados simultaneamente. Conta com garantia de 2 anos contra defeito de fabricação.","R$ 74.537,85",,"Carregador de Carro Elétrico DC NeoCharge com potência até 60 kW com plug Tipo CCS2. Apresenta função Smart para controle e monitoramento. Recarrega o carro elétrico entre 20 a 40 minutos, utilizando apena um dos plugues ou 40 a 80 minutos, quando os dois plugues são utilizados simultaneamente. Conta com garantia de 2 anos contra defeito de fabricação.",Indisponível
