MuiStack-root href,MuiBox-root src,MuiTypography-root,MuiTypography-root 2,MuiTypography-root 4,notranslate,MuiButtonBase-root 3
https://portalb2b.neosolar.com.br/novo-pedido/produto/27314,https://portal.zydon.com.br/api/files/cfdc6dad-4082-4bb5-878a-d9b7456395f5/content?ingress=portalb2b.neosolar.com.br,"Kit Energia Solar Off Grid - 1,24kWp 100Ah/48V Lítio (27314)",2x 620Wp DAH | 1x 40A MPPT Epever | 1x 100Ah/48V Lítio Ztroon |Sem Inversor,"R$ 6.807,53",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/25049,https://portal.zydon.com.br/api/files/2090556f-04e2-4644-bcfb-70480e65e3af/content?ingress=portalb2b.neosolar.com.br,Kit Energia Solar Off Grid - 680Wp 100Ah/24V Lítio (25049),"2x 340Wp Ztroon | 1x 30A MPPT Epever | 1x 100Ah/25,6V Lítio Epever | Sem Inversor","R$ 5.897,16",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27475,https://portal.zydon.com.br/api/files/af8a3c8c-1ced-4340-9ee3-950705043f59/content?ingress=portalb2b.neosolar.com.br,Kit Energia Solar Off Grid - 680Wp 100Ah/24V Lítio (27475),"2x 340Wp Ztroon | 1x 30A MPPT Epever | 1x 100Ah/25,6V Lítio Epever | Sem Inversor","R$ 4.653,12",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/25164,https://portalb2b.neosolar.com.br/b2b-noimage-white.svg,Kit Energia Solar Off Grid - 680Wp 100Ah/24V Lítio 1000W/127V Ztroon,"2x 340Wp Ztroon | 1x 30A MPPT Epever | 1x 100Ah/25,6V Lítio Epever | 1x 1000W 127V Ztroon","R$ 6.812,12",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27315,https://portal.zydon.com.br/api/files/b8854855-516a-437d-80be-3d7b80099cd0/content?ingress=portalb2b.neosolar.com.br,"Kit Energia Solar Off Grid - 1,24kWp 100Ah/48V Lítio (27315)",4x 620Wp DAH | 1x 40A MPPT Epever | 2x 100Ah/48V Lítio Ztroon |Sem Inversor,"R$ 12.731,46",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23927,https://portal.zydon.com.br/api/files/83064596-0d87-4e31-9a51-3567bef61e6c/content?ingress=portalb2b.neosolar.com.br,Kit Energia Solar Off Grid s/ Inversor - 30Wp 115/105Ah 12V Estacionária (23927),1x 30Wp Ztroon | 1x Bateria Estácionaria 12V 115 / 105Ah  | 1x 10A PWM Epever,"R$ 1.256,64",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27347,https://portal.zydon.com.br/api/files/2e6540f2-a35f-407e-b7e4-289e7b750caf/content?ingress=portalb2b.neosolar.com.br,"Kit Energia Solar Off Grid - 1,24kWp 100Ah/48V Lítio - Inversor 2000W 48/127 (27347)",2x 620Wp DAH | 1x 40A MPPT Epever | 1x 100Ah/48V Lítio Ztroon | Inversor 2000W 48Vcc / 127Vca,,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/27349,https://portal.zydon.com.br/api/files/068f88cc-b9e3-40c6-8445-804d8973a3ec/content?ingress=portalb2b.neosolar.com.br,"Kit Energia Solar Off Grid - 1,24kWp 100Ah/48V Lítio  - Inversor 2000W 48/127 (27349)",4x 620Wp DAH | 1x 40A MPPT Epever | 2x 100Ah/48V Lítio Ztroon | Inversor 2000W 48Vcc / 127Vca,,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/25131,https://portal.zydon.com.br/api/files/13b8f6d1-0f3b-40a9-a10e-2435a4a9f3d6/content?ingress=portalb2b.neosolar.com.br,Kit Energia Solar para Starlink - 10h/dia (até 1.280 Wh/dia) - Chumbo (25131),Diário: 10h |Máx: 30h  | 320 Wp | 220Ah/12V Chumbo | 20A PWM | 600/12V | kit instal,"R$ 2.414,24",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23928,https://portal.zydon.com.br/api/files/3711c72b-e21a-441a-bf0e-7c2a9047e7f0/content?ingress=portalb2b.neosolar.com.br,Kit Energia Solar Off Grid s/ Inversor - 60Wp 115/105Ah 12V Estacionária (23928),1x 60Wp Ztroon| 1x Bateria Estácionaria 12V 115 / 105Ah  | 1x 10A PWM Epever,"R$ 1.343,79",​,
