id,sku,name,manufacturer,model,category,price_brl,power_w,efficiency,voltage_v,current_a,image_path,source,availability,description,image_tier,specs_count
"neosolar_controllers_20080","20080","https://portal.zydon.com.br/api/files/1e827928-2371-42d5-95c3-d75a14e2b393/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","controllers","469","","","","75","/static/images-catálogo_distribuidores/NEOSOLAR-CONTROLLERS/NEOSOLAR_CONTROLLERS_20080.jpg","portalb2b.neosolar.com.br","true","""Cabo para Carro Elétrico NeoCharge NCT1 até 7","high","1"
"neosolar_controllers_21709","21709","https://portal.zydon.com.br/api/files/60966bed-8252-49ec-b331-d7fb6dd0d318/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","controllers","1275","","","","","/static/images-catálogo_distribuidores/NEOSOLAR-CONTROLLERS/NEOSOLAR_CONTROLLERS_21709.jpg","portalb2b.neosolar.com.br","true","""Carregador Carro Elétrico Portátil NeoCharge NC202 - 7","high","0"
"neosolar_controllers_21708","21708","https://portal.zydon.com.br/api/files/05906428-f064-4940-ac7d-73741f8822fe/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","controllers","960","","","","","/static/images-catálogo_distribuidores/NEOSOLAR-CONTROLLERS/NEOSOLAR_CONTROLLERS_21708.jpg","portalb2b.neosolar.com.br","true","""Carregador Carro Elétrico Portátil NeoCharge NC102 - 3","high","0"
"neosolar_controllers_21564","21564","https://portal.zydon.com.br/api/files/62e91eb0-eb7e-4dbe-9cfb-4bb58860372c/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","controllers","2844","","","","","/static/images-catálogo_distribuidores/NEOSOLAR-CONTROLLERS/NEOSOLAR_CONTROLLERS_21564.jpg","portalb2b.neosolar.com.br","true","""Carregador Carro Elétrico Wallbox NeoCharge NC5000 - 7","high","0"
"neosolar_controllers_24245","24245","https://portal.zydon.com.br/api/files/ccd6560f-5139-4240-85c0-178a95f119f7/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","controllers","37265","30000","","","178","/static/images-catálogo_distribuidores/NEOSOLAR-CONTROLLERS/NEOSOLAR_CONTROLLERS_24245.jpg","portalb2b.neosolar.com.br","true","Carregador Carro Elétrico Rápido DC NeoCharge - 30kW - NDC30","high","2"
"neosolar_controllers_24166","24166","https://portal.zydon.com.br/api/files/768f628b-9b0b-42d9-a498-e91cc1369bd2/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","controllers","466","7000","","","","/static/images-catálogo_distribuidores/NEOSOLAR-CONTROLLERS/NEOSOLAR_CONTROLLERS_24166.jpg","portalb2b.neosolar.com.br","true","Quadro de Proteção NeoCharge - NCP-A20 (7kW - Tipo A)","high","1"
"neosolar_controllers_22397","22397","https://portal.zydon.com.br/api/files/d4434c6b-4410-4095-a251-1c921d294fbe/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","controllers","2214","","","","","/static/images-catálogo_distribuidores/NEOSOLAR-CONTROLLERS/NEOSOLAR_CONTROLLERS_22397.jpg","portalb2b.neosolar.com.br","true","""Carregador Carro Elétrico Portátil NeoCharge NC302 - 7","high","0"
"neosolar_controllers_20359","20359","https://portal.zydon.com.br/api/files/2a674f0d-08c6-4880-a2e0-c74d5718d3f0/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","controllers","653","22000","","","2","/static/images-catálogo_distribuidores/NEOSOLAR-CONTROLLERS/NEOSOLAR_CONTROLLERS_20359.jpg","portalb2b.neosolar.com.br","true","Quadro de proteção NeoCharge - NCP-B30 (22kW - Tipo B)","high","2"
"neosolar_controllers_22724","22724","https://portal.zydon.com.br/api/files/055c6b19-17a8-48f8-8d1a-9f5121f5f0ca/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","controllers","2055","","","","17","/static/images-catálogo_distribuidores/NEOSOLAR-CONTROLLERS/NEOSOLAR_CONTROLLERS_22724.jpg","portalb2b.neosolar.com.br","true","Totem p/ Carregador Carro Elétrico NeoCharge NCT20-B - Estação de Recarga","high","1"
"neosolar_controllers_24798","24798","https://portal.zydon.com.br/api/files/77680081-a679-4799-9a7b-e0c71a08bd89/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","controllers","3606","","","","9","/static/images-catálogo_distribuidores/NEOSOLAR-CONTROLLERS/NEOSOLAR_CONTROLLERS_24798.jpg","portalb2b.neosolar.com.br","true","Pedestal de Alumínio p/ Carregador Carro Elétrico NeoCharge NCT10-F","high","1"
"neosolar_controllers_23072","23072","https://portal.zydon.com.br/api/files/a21ae089-8e1c-4df3-91b0-b3650afa2f65/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","controllers","0","","","","21","/static/images-catálogo_distribuidores/NEOSOLAR-CONTROLLERS/NEOSOLAR_CONTROLLERS_23072.jpg","portalb2b.neosolar.com.br","false","""Quadro de proteção NeoCharge - NCP-A20-M - 7","high","1"
"neosolar_controllers_22725","22725","https://portal.zydon.com.br/api/files/e4ab1582-94a1-43ff-b504-fde3fc368c47/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","controllers","2268","","","","4","/static/images-catálogo_distribuidores/NEOSOLAR-CONTROLLERS/NEOSOLAR_CONTROLLERS_22725.jpg","portalb2b.neosolar.com.br","true","Totem Duplo p/ Carregador Carro Elétrico NeoCharge NCT30-B - Estação de Recarga","high","1"
"neosolar_controllers_21565","21565","https://portal.zydon.com.br/api/files/21b9869d-bed5-4b99-a5c0-bd0b79d68556/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","controllers","3296","22000","","","","/static/images-catálogo_distribuidores/NEOSOLAR-CONTROLLERS/NEOSOLAR_CONTROLLERS_21565.jpg","portalb2b.neosolar.com.br","true","Carregador Carro Elétrico Wallbox NeoCharge NC6000 - 22kW","high","1"
