id,name,manufacturer,model,category,price_brl,power_w,efficiency,voltage_v,current_a,image,image_url,source,availability,description,image_tier,specs_count
"neosolar_chargers_23757","https://portal.zydon.com.br/api/files/699bb4b0-ff8e-44fc-8977-59a88b5bc923/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","4726","1500","","","59","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_23757.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_23757.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar ZTROON - 3ZTPC3.8-180-96-1500W - até 180m ou 22.800 L/dia (23757)","high","2"
"neosolar_chargers_20863","https://portal.zydon.com.br/api/files/f5057807-4e5a-4e42-84a0-4a1a3adf5f13/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","1927","","","","5","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20863.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20863.jpg","portalb2b.neosolar.com.br","true","""Bomba Solar ZTROON 3"""" - 180m ou 19m³/dia | 3ZTPC3.8-180-96-1500""","high","1"
"neosolar_chargers_27329","https://portalb2b.neosolar.com.br/b2b-noimage-white.svg","NEOSOLAR","","chargers","1862","","","","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_27329.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_27329.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Anauger R100 STD - até 40m ou 4.600 L/dia","high","0"
"neosolar_chargers_20035","https://portal.zydon.com.br/api/files/f51fe085-0d00-4d6e-94a2-5ffbdca9ee0a/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","1529","","","","94","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20035.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20035.jpg","portalb2b.neosolar.com.br","true","Bomba Solar Anauger R100 - até 40m ou 8.600 L/dia","high","1"
"neosolar_chargers_20031","https://portal.zydon.com.br/api/files/ae0f43e2-2883-4e96-bc4c-433ba1f83827/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","79","","","","15","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20031.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20031.jpg","portalb2b.neosolar.com.br","true","""Bóia de Nível Anauger SensorControl 15A - 3","high","1"
"neosolar_chargers_24072","https://portal.zydon.com.br/api/files/fe848e58-c590-45f6-a8bf-f5d77397f5a9/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","5175","","","","5","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24072.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_24072.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Híbrida ZTROON - 4ZTSC4.8-203-200-1500-A/D - até 203m ou 27.000 L/dia","high","1"
"neosolar_chargers_21295","https://portal.zydon.com.br/api/files/fa844e2e-3f9d-4bae-b677-f72e0eb8776b/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","2816","","","","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_21295.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_21295.jpg","portalb2b.neosolar.com.br","true","""Bomba Solar Híbrida ZTROON 4"""" - 203m ou 24m³/dia | 4ZTSC4.8-203-200-1500-A/D""","high","0"
"neosolar_chargers_23758","https://portal.zydon.com.br/api/files/3f8e14ff-f8de-48b6-97c5-3508c9657f94/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","4794","1500","","","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_23758.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_23758.jpg","portalb2b.neosolar.com.br","true","Kit Bomba Solar Centrífuga ZTROON - 3ZTPC6-125-96-1500W - até 125m ou 36.000 L/dia (23758)","high","1"
"neosolar_chargers_20864","https://portal.zydon.com.br/api/files/2df9d9d7-c021-47ea-9886-ad5db3dd2228/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","2008","1500","","","","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20864.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20864.jpg","portalb2b.neosolar.com.br","true","""Bomba Solar ZTROON 3"""" - 125m ou 30m³/dia | 3ZTPC6-125-96-1500W""","high","1"
"neosolar_chargers_20860","https://portal.zydon.com.br/api/files/63781a4b-0d21-413a-8e76-fa97645dbbe9/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","chargers","1686","750","","","63781","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20860.jpg","images\NEOSOLAR-CHARGERS\NEOSOLAR_CHARGERS_20860.jpg","portalb2b.neosolar.com.br","true","""Bomba Solar ZTROON 3"""" - 150m ou 10m³/dia | 3ZTS2.0-150-48-750W""","high","2"
