id,name,manufacturer,model,category,price_brl,power_w,efficiency,voltage_v,current_a,image,image_url,source,availability,description,image_tier,specs_count
"neosolar_inverters_22916","Microinversor Deye SUN2250 G4 Monofásico 2250W - 220V - MLPE e Wi-Fi Integrado","DEYE","","inverters","0","2250","2250","220","10","","/images/placeholder-inverter.jpg","portalb2b.neosolar.com.br","false","Microinversor Deye Sun2250 G4 – Wi-Fi Integrado – Potência Contínua: 2250 W – Tensão: 220 V – Garantia: de 10 anos (já incluídos os 90 dias da garantia legal).","","7"
"neosolar_inverters_21632","Inversor Off Grid Senoidal Epever IPower Plus IP2000-21 (T) - 2000W 24/120V","EPEVER","","inverters","1719","2000","2000","127","","","/images/placeholder-inverter.jpg","portalb2b.neosolar.com.br","true","""Inversor Epever Ipower Plus de 24Vcc para 127Vca com potência contínua de 2000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS","","5"
"neosolar_inverters_20566","Inversor Off Grid Senoidal ZTROON ZT1000-11 - 1000W - 12/127V","ZTROON","","inverters","703","1000","1000","127","","images\NEOSOLAR-INVERTERS\neosolar_inverters_20566.jpg","images\NEOSOLAR-INVERTERS\neosolar_inverters_20566.jpg","portalb2b.neosolar.com.br","true","Inversor Off Grid ZTROON ZT1000-11 – Senoidal Pura – Potência Contínua: 1000 W – Tensão: 12/127 V – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).","high","5"
"neosolar_inverters_20563","Inversor Off Grid Senoidal ZTROON ZT600-11 - 600W - 12/ 127V","ZTROON","","inverters","497","600","600","127","","images\NEOSOLAR-INVERTERS\neosolar_inverters_20563.jpg","images\NEOSOLAR-INVERTERS\neosolar_inverters_20563.jpg","portalb2b.neosolar.com.br","true","Inversor Off Grid ZTROON ZT600-11 – Senoidal Pura – Potência Contínua: 600 W – Tensão: 12/127 V – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).","high","5"
"neosolar_inverters_24973","Inversor Carregador Must PV29-5048 LHP - 5000W - MPPT 80A - 48/110V","MUST","","inverters","2733","5000","29","110","80","images\NEOSOLAR-INVERTERS\neosolar_inverters_24973.jpg","images\NEOSOLAR-INVERTERS\neosolar_inverters_24973.jpg","portalb2b.neosolar.com.br","true","P. Surto: 15.000W | Faixa MPPT: 30 ~ 230V | Compatível com Lítio","high","6"
"neosolar_inverters_22022","Inversor Off Grid Senoidal  ZTROON ZT2000-11 - 2000W - 12/127V","ZTROON","","inverters","1194","2000","2000","127","","images\NEOSOLAR-INVERTERS\neosolar_inverters_22022.jpg","images\NEOSOLAR-INVERTERS\neosolar_inverters_22022.jpg","portalb2b.neosolar.com.br","true","Inversor Off Grid ZTROON ZT2000-11– Senoidal Pura – Potência Contínua: 2000 W – Tensão: 12/127 Vca – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).","high","5"
"neosolar_inverters_20247","Inversor Off Grid Senoidal Epever IPower Plus IP2000-41 (T) - 2000W 48/127V","EPEVER","","inverters","1784","2000","2000","127","","images\NEOSOLAR-INVERTERS\neosolar_inverters_20247.jpg","images\NEOSOLAR-INVERTERS\neosolar_inverters_20247.jpg","portalb2b.neosolar.com.br","true","""Inversor Epever Ipower Plus de 48Vcc para 127Vca com potência contínua de 2000W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS","high","5"
"neosolar_inverters_24972","Inversor Carregador Must PV29-5048 HP - 5000W - MPPT 80A - 48/220V","MUST","","inverters","2798","5000","29","220","80","images\NEOSOLAR-INVERTERS\neosolar_inverters_24972.jpg","images\NEOSOLAR-INVERTERS\neosolar_inverters_24972.jpg","portalb2b.neosolar.com.br","true","P. Surto: 15.000W | Faixa MPPT: 30 ~ 230V | Compatível com Lítio","high","6"
"neosolar_inverters_21630","Inversor Off Grid Senoidal Epever IPower Plus IP1500-11 (T) - 1500W 12/110V","EPEVER","","inverters","1459","1500","1500","110","","images\NEOSOLAR-INVERTERS\neosolar_inverters_21630.jpg","images\NEOSOLAR-INVERTERS\neosolar_inverters_21630.jpg","portalb2b.neosolar.com.br","true","""Inversor Epever Ipower Plus de 12Vcc para 110Vca com potência contínua de 1500W e formato de onda do tipo senoidal pura. Compatível com baterias de lítio com proteção Via BMS","high","5"
"neosolar_inverters_22024","Inversor Off Grid Senoidal  ZTROON ZT2000-21 - 2000W - 24/127V","ZTROON","","inverters","1194","2000","2000","127","","images\NEOSOLAR-INVERTERS\neosolar_inverters_22024.jpg","images\NEOSOLAR-INVERTERS\neosolar_inverters_22024.jpg","portalb2b.neosolar.com.br","true","Inversor Off Grid ZTROON ZT2000-21– Senoidal Pura – Potência Contínua: 2000 W – Tensão: 24/127 Vca – Garantia de 18 meses (já incluídos os 90 dias da garantia legal).","high","5"
