id,sku,name,manufacturer,model,category,price_brl,power_w,efficiency,voltage_v,current_a,image_path,source,availability,description,image_tier,specs_count
"FOTUS-KP04-kits-hibridos","hibridos","KP04 - ASTRONERGY | TIER 1 | 600W N-TYPE BIFACIAL (22,2% EF.) - MICROINVERSOR TSUNESS2250W","undefined","","inverters","2706.07","600","","","","/static/images-catálogo_distribuidores/FOTUS-KITS-HIBRIDOS/FOTUS-KP04-120kWp-Ceramico-kits-hibridos.jpg","","true","KP04 - ASTRONERGY | TIER 1 | 600W N-TYPE BIFACIAL (22,2% EF.) - MICROINVERSOR TSUNESS2250W","high","1"
"FOTUS-KP04-kits","kits","KP04 - SOLAR N PLUS | 570W N-TYPE BIFACIAL DG (22,1% EF.) | FRAME DE FIBRA DE VIDRO - MICROINVERSOR DEYE 2.25KW","undefined","","inverters","2507.99","570","","","","/static/images-catálogo_distribuidores/FOTUS-KITS/FOTUS-KP02-1065kWp-Ceramico-kits.jpg","","true","KP04 - SOLAR N PLUS | 570W N-TYPE BIFACIAL DG (22,1% EF.) | FRAME DE FIBRA DE VIDRO - MICROINVERSOR DEYE 2.25KW","high","1"
"FOTUS-KP02-kits","kits","KP02 - SOLAR N PLUS 600W N-TYPE BF DG - MICROINVERSOR TSUNESS2250W","undefined","","inverters","2679.49","600","","","","/static/images-catálogo_distribuidores/FOTUS-KITS/FOTUS-KP02-1065kWp-Ceramico-kits.jpg","","true","KP02 - SOLAR N PLUS 600W N-TYPE BF DG - MICROINVERSOR TSUNESS2250W","high","1"
"FOTUS-KP03-kits","kits","KP03 - TRINA | TIER 1 | 710W N-TYPE BIFACIAL - MICROINVERSOR DEYE 2.25KW","undefined","","inverters","2896.41","710","","","","/static/images-catálogo_distribuidores/FOTUS-KITS/FOTUS-KP02-1065kWp-Ceramico-kits.jpg","","true","KP03 - TRINA | TIER 1 | 710W N-TYPE BIFACIAL - MICROINVERSOR DEYE 2.25KW","high","1"
"neosolar_kits_27314","27314","https://portal.zydon.com.br/api/files/cfdc6dad-4082-4bb5-878a-d9b7456395f5/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","kits","6807","","","","878","/static/images-catálogo_distribuidores/NEOSOLAR-KITS/neosolar_kits_27314.jpg","portalb2b.neosolar.com.br","true","""Kit Energia Solar Off Grid - 1","high","1"
"neosolar_kits_25049","25049","https://portal.zydon.com.br/api/files/2090556f-04e2-4644-bcfb-70480e65e3af/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","kits","5897","680","","24","3","/static/images-catálogo_distribuidores/NEOSOLAR-KITS/neosolar_kits_25049.jpg","portalb2b.neosolar.com.br","true","Kit Energia Solar Off Grid - 680Wp 100Ah/24V Lítio (25049)","high","3"
"neosolar_kits_27475","27475","https://portal.zydon.com.br/api/files/af8a3c8c-1ced-4340-9ee3-950705043f59/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","kits","4653","680","","24","8","/static/images-catálogo_distribuidores/NEOSOLAR-KITS/neosolar_kits_27475.jpg","portalb2b.neosolar.com.br","true","Kit Energia Solar Off Grid - 680Wp 100Ah/24V Lítio (27475)","high","3"
"neosolar_kits_25164","25164","https://portalb2b.neosolar.com.br/b2b-noimage-white.svg","NEOSOLAR","","kits","6812","680","","24","100","/static/images-catálogo_distribuidores/NEOSOLAR-KITS/neosolar_kits_25164.jpg","portalb2b.neosolar.com.br","true","Kit Energia Solar Off Grid - 680Wp 100Ah/24V Lítio 1000W/127V Ztroon","high","3"
"neosolar_kits_27315","27315","https://portal.zydon.com.br/api/files/b8854855-516a-437d-80be-3d7b80099cd0/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","kits","12731","","","","516","/static/images-catálogo_distribuidores/NEOSOLAR-KITS/neosolar_kits_27315.jpg","portalb2b.neosolar.com.br","true","""Kit Energia Solar Off Grid - 1","high","1"
"neosolar_kits_23927","23927","https://portal.zydon.com.br/api/files/83064596-0d87-4e31-9a51-3567bef61e6c/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","kits","1256","30","","12","9","/static/images-catálogo_distribuidores/NEOSOLAR-KITS/neosolar_kits_23927.jpg","portalb2b.neosolar.com.br","true","Kit Energia Solar Off Grid s/ Inversor - 30Wp 115/105Ah 12V Estacionária (23927)","high","3"
"neosolar_kits_27347","27347","https://portal.zydon.com.br/api/files/2e6540f2-a35f-407e-b7e4-289e7b750caf/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","kits","0","","","","","/static/images-catálogo_distribuidores/NEOSOLAR-KITS/neosolar_kits_27347.jpg","portalb2b.neosolar.com.br","false","""Kit Energia Solar Off Grid - 1","high","0"
"neosolar_kits_27349","27349","https://portal.zydon.com.br/api/files/068f88cc-b9e3-40c6-8445-804d8973a3ec/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","kits","0","","","","8973","/static/images-catálogo_distribuidores/NEOSOLAR-KITS/neosolar_kits_27349.jpg","portalb2b.neosolar.com.br","false","""Kit Energia Solar Off Grid - 1","high","1"
"neosolar_kits_25131","25131","https://portal.zydon.com.br/api/files/13b8f6d1-0f3b-40a9-a10e-2435a4a9f3d6/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","kits","2414","1.28","","","40","/static/images-catálogo_distribuidores/NEOSOLAR-KITS/neosolar_kits_25131.jpg","portalb2b.neosolar.com.br","true","Kit Energia Solar para Starlink - 10h/dia (até 1.280 Wh/dia) - Chumbo (25131)","high","2"
"neosolar_kits_23928","23928","https://portal.zydon.com.br/api/files/3711c72b-e21a-441a-bf0e-7c2a9047e7f0/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","kits","1343","60","","12","21","/static/images-catálogo_distribuidores/NEOSOLAR-KITS/neosolar_kits_23928.jpg","portalb2b.neosolar.com.br","true","Kit Energia Solar Off Grid s/ Inversor - 60Wp 115/105Ah 12V Estacionária (23928)","high","3"
"neosolar_kits_27339","27339","https://portal.zydon.com.br/api/files/71d09171-d95d-414b-8098-c8aa51a9e7a1/content?ingress=portalb2b.neosolar.com.br","NEOSOLAR","","kits","1113","100","","12","8","/static/images-catálogo_distribuidores/NEOSOLAR-KITS/neosolar_kits_27339.jpg","portalb2b.neosolar.com.br","true","Kit Energia Solar Off Grid s/ Inversor - 100Wp 115/105Ah 12V Estacionária (27339)","high","3"
