id,sku,name,manufacturer,model,category,price_brl,power_w,efficiency,voltage_v,current_a,image_path,source,availability,description,image_tier,specs_count
"FORTLEV-NEP-PVG-3-20A-L","L","RSD NEP PVG-3-20A-L (MC4) Rapid Shutdown","Nep","","others","91178","","","","20","/placeholder-other.jpg","","true","RSD NEP PVG-3-20A-L (MC4) Rapid Shutdown","","1"
"FORTLEV-CONDUFORT-DN40-PEAD","PEAD","Duto Corrugado Condufort DN 40 PEAD NBR 450N 50m","Condufort","","others","566","","","","","/placeholder-other.jpg","","true","Duto Corrugado Condufort DN 40 PEAD NBR 450N 50m","","0"
"FORTLEV-CAIXA-PASSAGEM-PRFV-D0.8-H0.8","","Caixa de Passagem PRFV D 0.8m × H 0.8m","Genérico","","others","86488","","","","","/placeholder-other.jpg","","true","Caixa de Passagem PRFV D 0.8m × H 0.8m","","0"
"FORTLEV-CERCA-ARAME-1.8MX20M","","Cerca de Arame Galvanizado 1.8m × 20m","Genérico","","others","88795","","","","","/placeholder-other.jpg","","true","Cerca de Arame Galvanizado 1.8m × 20m","","0"
"neosolar_posts_24170","24170","https://portal.zydon.com.br/api/files/520837c6-2dd9-4b65-9d16-e970fe21abda/content?ingress=portalb2b.neosolar.com.br","Neosolar","","posts","17148","","","","21","/static/images-catálogo_distribuidores/NEOSOLAR-POSTS/neosolar_posts_24170.jpg","","true","https://portal.zydon.com.br/api/files/520837c6-2dd9-4b65-9d16-e970fe21abda/content?ingress=portalb2b.neosolar.com.br","high","1"
"neosolar_posts_24171","24171","https://portal.zydon.com.br/api/files/1339335a-04cf-4569-9f2d-e907c365ebbb/content?ingress=portalb2b.neosolar.com.br","Neosolar","","posts","16357","","","","1339335","/static/images-catálogo_distribuidores/NEOSOLAR-POSTS/neosolar_posts_24171.jpg","","true","https://portal.zydon.com.br/api/files/1339335a-04cf-4569-9f2d-e907c365ebbb/content?ingress=portalb2b.neosolar.com.br","high","1"
"neosolar_posts_24173","24173","https://portal.zydon.com.br/api/files/fe9344fd-2d1d-401a-a5cc-28a25da7f9ba/content?ingress=portalb2b.neosolar.com.br","Neosolar","","posts","9166","","","","401","/static/images-catálogo_distribuidores/NEOSOLAR-POSTS/neosolar_posts_24173.jpg","","true","https://portal.zydon.com.br/api/files/fe9344fd-2d1d-401a-a5cc-28a25da7f9ba/content?ingress=portalb2b.neosolar.com.br","high","1"
"neosolar_posts_24175","24175","https://portal.zydon.com.br/api/files/ac4fca83-7e8a-41e8-889a-30a85bd982ee/content?ingress=portalb2b.neosolar.com.br","Neosolar","","posts","7901","","","","8","/static/images-catálogo_distribuidores/NEOSOLAR-POSTS/neosolar_posts_24175.jpg","","true","https://portal.zydon.com.br/api/files/ac4fca83-7e8a-41e8-889a-30a85bd982ee/content?ingress=portalb2b.neosolar.com.br","high","1"
"neosolar_posts_24172","24172","https://portal.zydon.com.br/api/files/c4f7b148-006e-438f-89a3-47c176719796/content?ingress=portalb2b.neosolar.com.br","Neosolar","","posts","15804","","","","89","/static/images-catálogo_distribuidores/NEOSOLAR-POSTS/neosolar_posts_24172.jpg","","true","https://portal.zydon.com.br/api/files/c4f7b148-006e-438f-89a3-47c176719796/content?ingress=portalb2b.neosolar.com.br","high","1"
"neosolar_posts_24174","24174","https://portal.zydon.com.br/api/files/fd1bc14b-b5ed-4f4e-a099-ad4a74076913/content?ingress=portalb2b.neosolar.com.br","Neosolar","","posts","8217","","","","4","/static/images-catálogo_distribuidores/NEOSOLAR-POSTS/neosolar_posts_24174.jpg","","true","https://portal.zydon.com.br/api/files/fd1bc14b-b5ed-4f4e-a099-ad4a74076913/content?ingress=portalb2b.neosolar.com.br","high","1"
