id,sku,name,manufacturer,model,category,price_brl,power_w,efficiency,voltage_v,current_a,image_path,source,availability,description,image_tier,specs_count
"odex_inverters_ODEX-PAINEL-ODEX-585W","Odex","Painel Solar Odex 585W","Odex","Odex","panels","490","585","585","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-ESTRUTURA-SOLARGROUP-COLONIAL.jpg","plataforma.odex.com.br","true","Painel Solar Odex 585W","high","3"
"odex_inverters_ODEX-PAINEL-ODEX-600W","Odex","Painel Solar Odex 600W","Odex","Odex","panels","499","600","600","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-ESTRUTURA-SOLARGROUP-COLONIAL.jpg","plataforma.odex.com.br","true","Painel Solar Odex 600W","high","3"
"odex_inverters_ODEX-PAINEL-ODEX-610W","Odex","Painel Solar Odex 610W","Odex","Odex","panels","505","610","610","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-ESTRUTURA-SOLARGROUP-COLONIAL.jpg","plataforma.odex.com.br","true","Painel Solar Odex 610W","high","3"
"odex_inverters_ODEX-PAINEL-ODEX-660W","Odex","Painel Solar Odex 660W","Odex","Odex","panels","515","660","660","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-ESTRUTURA-SOLARGROUP-COLONIAL.jpg","plataforma.odex.com.br","true","Painel Solar Odex 660W","high","3"
"odex_inverters_ODEX-PAINEL-ODEX-700W","Odex","Painel Solar Odex 700W","Odex","Odex","panels","519","700","700","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-ESTRUTURA-SOLARGROUP-COLONIAL.jpg","plataforma.odex.com.br","true","Painel Solar Odex 700W","high","3"
"odex_inverters_ODEX-PAINEL-ASTRONERGY-600W","Astronergy","Painel Solar Astronergy 600W","Astronergy","Astronergy","panels","512","600","600","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-PAINEL-ASTRONERGY-600W.jpg","plataforma.odex.com.br","true","Painel Solar Astronergy 600W","high","3"
"odex_inverters_ODEX-PAINEL-TSUN-560W","Tsun","Painel Solar Tsun 560W","Tsun","Tsun","panels","485","560","560","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-PAINEL-TSUN-560W.jpg","plataforma.odex.com.br","true","Painel Solar Tsun 560W","high","3"
"odex_inverters_ODEX-PAINEL-JINKO-610W","Jinko","Painel Solar Jinko 610W","Jinko","Jinko","panels","508","610","610","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-PAINEL-JINKO-610W.jpg","plataforma.odex.com.br","true","Painel Solar Jinko 610W","high","3"
"odex_inverters_ODEX-PAINEL-JINKO-615W","Jinko","Painel Solar Jinko 615W","Jinko","Jinko","panels","510","615","615","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-PAINEL-JINKO-610W.jpg","plataforma.odex.com.br","true","Painel Solar Jinko 615W","high","3"
"solfacil_panels_1","","https://cdn-ecommerce.solfacil.com.br/contents/products/559375/images/IMAGE_PRODUCT_559375.jpeg HANERSUN","HANERSUN","","panels","0","","559375","","","/static/images-catálogo_distribuidores/SOLFACIL-PANELS/HANERSUN-HN18N-72H_IMAGE_PRODUCT_559375.jpeg","loja.solfacil.com.br","true","HN18N-72H","","2"
"solfacil_panels_2","","HANERSUN","HANERSUN","","panels","0","","18","","","/static/images-catálogo_distribuidores/SOLFACIL-PANELS/HANERSUN-HJT HN21H-66HT_IMAGE_PRODUCT_573429.png","loja.solfacil.com.br","true","HN18N-72H","high","2"
"solfacil_panels_3","","DAH","DAH","","panels","0","","72","","","/catalog/images/SOLFACIL-PANELS/IMAGE_PRODUCT_559376.jpeg","loja.solfacil.com.br","true","DHN-72X16/DG","","2"
"solfacil_panels_4","","https://cdn-ecommerce.solfacil.com.br/contents/products/559381/images/IMAGE_PRODUCT_559381.png OSDA","OSDA","","panels","0","","559381","33","","/static/images-catálogo_distribuidores/SOLFACIL-PANELS/OSDA-33V-MHDRZ_IMAGE_PRODUCT_559381.png","loja.solfacil.com.br","true","33V-MHDRZ","","3"
