id,sku,name,manufacturer,model,category,price_brl,power_w,efficiency,voltage_v,current_a,image_path,source,availability,description,image_tier,specs_count
"odex_inverters_ODEX-PAINEL-ODEX-585W","585W","Painel Solar Odex 585W","Odex","Odex","panels","490","585","585","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-ESTRUTURA-SOLARGROUP-COLONIAL.jpg","plataforma.odex.com.br","true","Painel Solar Odex 585W","high","3"
"odex_inverters_ODEX-PAINEL-ODEX-600W","600W","Painel Solar Odex 600W","Odex","Odex","panels","499","600","600","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-ESTRUTURA-SOLARGROUP-COLONIAL.jpg","plataforma.odex.com.br","true","Painel Solar Odex 600W","high","3"
"odex_inverters_ODEX-PAINEL-ODEX-610W","610W","Painel Solar Odex 610W","Odex","Odex","panels","505","610","610","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-ESTRUTURA-SOLARGROUP-COLONIAL.jpg","plataforma.odex.com.br","true","Painel Solar Odex 610W","high","3"
"odex_inverters_ODEX-PAINEL-ODEX-660W","660W","Painel Solar Odex 660W","Odex","Odex","panels","515","660","660","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-ESTRUTURA-SOLARGROUP-COLONIAL.jpg","plataforma.odex.com.br","true","Painel Solar Odex 660W","high","3"
"odex_inverters_ODEX-PAINEL-ODEX-700W","700W","Painel Solar Odex 700W","Odex","Odex","panels","519","700","700","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-ESTRUTURA-SOLARGROUP-COLONIAL.jpg","plataforma.odex.com.br","true","Painel Solar Odex 700W","high","3"
"odex_inverters_ODEX-PAINEL-ASTRONERGY-600W","600W","Painel Solar Astronergy 600W","Astronergy","Astronergy","panels","512","600","600","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-PAINEL-ASTRONERGY-600W.jpg","plataforma.odex.com.br","true","Painel Solar Astronergy 600W","high","3"
"odex_inverters_ODEX-PAINEL-TSUN-560W","560W","Painel Solar Tsun 560W","Tsun","Tsun","panels","485","560","560","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-PAINEL-TSUN-560W.jpg","plataforma.odex.com.br","true","Painel Solar Tsun 560W","high","3"
"odex_inverters_ODEX-PAINEL-JINKO-610W","610W","Painel Solar Jinko 610W","Jinko","Jinko","panels","508","610","610","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-PAINEL-JINKO-610W.jpg","plataforma.odex.com.br","true","Painel Solar Jinko 610W","high","3"
"odex_inverters_ODEX-PAINEL-JINKO-615W","615W","Painel Solar Jinko 615W","Jinko","Jinko","panels","510","615","615","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-PAINEL-JINKO-610W.jpg","plataforma.odex.com.br","true","Painel Solar Jinko 615W","high","3"
"undefined","","undefined","undefined","","undefined","0","","","","","/placeholder-panel.jpg","","false","Schema para validação do catálogo de painéis fotovoltaicos comercializados pela Yello Solar Hub","","1"
