id,sku,name,manufacturer,model,category,price_brl,power_w,efficiency,voltage_v,current_a,image_path,source,availability,description,image_tier,specs_count
"odex_inverters_ODEX-ESTRUTURA-SOLARGROUP-FIBROCIMENTO","FIBROCIMENTO","Estrutura Solar Group Fibrocimento Grande","Solar Group","","structures","103","","","","","/placeholder-structure.jpg","plataforma.odex.com.br","true","Estrutura Solar Group Fibrocimento Grande","","0"
"odex_inverters_ODEX-ESTRUTURA-SOLARGROUP-FIBROCIMENTO-1","1","Estrutura Solar Group Fibrocimento Pequeno","Solar Group","","structures","98","","","","","/placeholder-structure.jpg","plataforma.odex.com.br","true","Estrutura Solar Group Fibrocimento Pequeno","","0"
"odex_inverters_ODEX-ESTRUTURA-SOLARGROUP-COLONIAL","COLONIAL","Estrutura Solar Group Colonial Cerâmico","Solar Group","","structures","145","","","","","/placeholder-structure.jpg","plataforma.odex.com.br","true","Estrutura Solar Group Colonial Cerâmico","","0"
"odex_inverters_ODEX-ESTRUTURA-SOLARGROUP-METALICO","METALICO","Estrutura Solar Group Metálico Trapezoidal","Solar Group","","structures","112","","","","","/placeholder-structure.jpg","plataforma.odex.com.br","true","Estrutura Solar Group Metálico Trapezoidal","","0"
"odex_inverters_ODEX-ESTRUTURA-SOLARGROUP-SOLO","SOLO","Estrutura Solar Group Solo Fixo","Solar Group","","structures","1250","","","","","/placeholder-structure.jpg","plataforma.odex.com.br","true","Estrutura Solar Group Solo Fixo","","0"
"odex_inverters_ODEX-ESTRUTURA-SOLARGROUP-SOLO-1","1","Estrutura Solar Group Solo Rastreador 1 Eixo","Solar Group","","structures","3890","","","","","/placeholder-structure.jpg","plataforma.odex.com.br","true","Estrutura Solar Group Solo Rastreador 1 Eixo","","0"
"odex_inverters_ODEX-ESTRUTURA-ROMAGNOLE-FIBROCIMENTO","FIBROCIMENTO","Estrutura Romagnole Fibrocimento RF-55","Romagnole","","structures","109","","","","","/placeholder-structure.jpg","plataforma.odex.com.br","true","Estrutura Romagnole Fibrocimento RF-55","","0"
"odex_inverters_ODEX-ESTRUTURA-ROMAGNOLE-COLONIAL","COLONIAL","Estrutura Romagnole Colonial Cerâmico RC-66","Romagnole","","structures","152","","","","","/placeholder-structure.jpg","plataforma.odex.com.br","true","Estrutura Romagnole Colonial Cerâmico RC-66","","0"
"odex_inverters_ODEX-ESTRUTURA-ROMAGNOLE-METALICO","METALICO","Estrutura Romagnole Metálico Trapezoidal RM-40","Romagnole","","structures","118","","","","","/placeholder-structure.jpg","plataforma.odex.com.br","true","Estrutura Romagnole Metálico Trapezoidal RM-40","","0"
"odex_inverters_ODEX-ESTRUTURA-ROMAGNOLE-LAJE","LAJE","Estrutura Romagnole Laje Inclinada RL-30","Romagnole","","structures","165","","","","","/placeholder-structure.jpg","plataforma.odex.com.br","true","Estrutura Romagnole Laje Inclinada RL-30","","0"
