card-title,img-content-orders src,fw-semibold,text-orders-price
IDT00028,https://prod-platform-api.s3.amazonaws.com/components/68c4044876fc8cff81c3e9f6/imagem.png,DUTO CORRUGADO CONDUFORT PEAD DN 63 - NBR 680N - (MULT. 100M),"R$ 16,74"
IDT00009,https://prod-platform-api.s3.amazonaws.com/components/68c4044876fc8cff81c3e9f5/imagem.png,DUTO CORRUGADO CONDUFORT PEAD DN 63 - NBR 680N - (MULT. 50M),"R$ 16,83"
IDT00011,https://prod-platform-api.s3.amazonaws.com/components/68c16f5a854b7b00f456a4b7/imagem.png,DUTO CORRUGADO CONDUFORT PEAD DN 75 - NBR 450N - (MULT. 50M),"R$ 6,09"
IDT00014,https://prod-platform-api.s3.amazonaws.com/components/68acb2cead4b34e67bf2e282/corrugado.png,DUTO CORRUGADO CONDUFORT PEAD DN 90 - NBR 450N - (MULT. 50M),"R$ 18,94"
IDT00033,https://prod-platform-api.s3.amazonaws.com/components/68a8e16a2935473cc0199d97/corrugado.png,DUTO CORRUGADO CONDUFORT PEAD DN 90 - NBR 450N - (MULT. 100M),"R$ 19,23"
IDT00030,https://prod-platform-api.s3.amazonaws.com/components/68a7034539f8f3cdba522730/corrugado.png,DUTO CORRUGADO CONDUFORT PEAD DN 75 - NBR 450N - (MULT. 100M),"R$ 13,36"
IDT00021,https://prod-platform-api.s3.amazonaws.com/components/689f98d8e9d290fe9bda50bc/corrugado.png,DUTO CORRUGADO CONDUFORT PEAD DN 40 - NBR 450N - (MULT. 100M),"R$ 5,63"
IDT00020,https://prod-platform-api.s3.amazonaws.com/components/689f6ea9d447e33526100c74/corrugado.png,DUTO CORRUGADO CONDUFORT  PEAD DN 32 - NBR 450N - (MULT. 100M),"R$ 5,73"
IDT00001,https://prod-platform-api.s3.amazonaws.com/components/689f6ea9d447e33526100c73/corrugado.png,DUTO CORRUGADO CONDUFORT  PEAD DN 32 - NBR 450N - (MULT. 50M),"R$ 5,38"
IDT00036,https://prod-platform-api.s3.amazonaws.com/components/689b56fef47155b8ccc9277a/corrugado.png,DUTO CORRUGADO CONDUFORT PEAD DN 110 - NBR 450N - (MULT. 100M),"R$ 23,13"
IDT00027,https://prod-platform-api.s3.amazonaws.com/components/689b56fef47155b8ccc92779/corrugado.png,DUTO CORRUGADO CONDUFORT PEAD DN 63 - NBR 450N - (MULT. 100M),"R$ 14,56"
IDT00024,https://prod-platform-api.s3.amazonaws.com/components/689b56fef47155b8ccc92778/corrugado.png,DUTO CORRUGADO CONDUFORT PEAD DN 50 - NBR 450N - (MULT. 100M),"R$ 7,88"
IDT00017,https://prod-platform-api.s3.amazonaws.com/components/689b56fef47155b8ccc92777/corrugado.png,DUTO CORRUGADO CONDUFORT PEAD DN 110 - NBR 450N - (MULT. 50M),"R$ 23,27"
IDT00008,https://prod-platform-api.s3.amazonaws.com/components/689b56fef47155b8ccc92776/corrugado.png,DUTO CORRUGADO CONDUFORT PEAD DN 63 - NBR 450N - (MULT. 50M),"R$ 14,55"
IIN00388,https://fortlevsolar.app/produto-avulso?familia=miscellaneous,TC ENPHASE P/ ENVOY-S 220/380V,"R$ 334,31"
IIN00371,https://prod-platform-api.s3.amazonaws.com/components/6865497d9f791c3bb354c6f1/IIN00371.png,HUAWEI SMARTPS-250A-T0-DTSU666-H 250A/50MA,"R$ 1.138,79"
IIN00326,https://prod-platform-api.s3.amazonaws.com/components/681df55a2e12924e800765ba/IIN00326.png,GROWATT SMART ENERGY 300KW,"R$ 9.860,82"
IIN00325,https://prod-platform-api.s3.amazonaws.com/components/681df55a2e12924e800765b9/IIN00325.png,GROWATT SMART ENERGY 100KW,"R$ 7.714,06"
IIN00334,https://fortlevsolar.app/produto-avulso?familia=miscellaneous,SMART METER FOXESS DDSU666,"R$ 686,58"
IIN00333,https://fortlevsolar.app/produto-avulso?familia=miscellaneous,SMART METER FOXESS DTSU666 5(80)A,"R$ 1.274,21"
IIN00332,https://fortlevsolar.app/produto-avulso?familia=miscellaneous,SMART METER FOXESS DTSU666 1.5(6),"R$ 1.966,02"
IBT00004,https://prod-platform-api.s3.amazonaws.com/components/678950349ecacc7047df66f4/IBT00004.png,BATERIA FOXESS EP11,"R$ 16.666,67"
