ng-star-inserted src,topo,topo 2,ng-star-inserted,ng-star-inserted 2,m-0 href,text-center 2,text-center 3,text-center 4,text-left 6,text-center 6,text-left 7,text-left 8,text-center 8,text-left 9,text-center 9
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/4da53b23-44e6-480e-8533-27d7704c5679.webp?t=1759436932,"KP04 - ASTRONERGY | TIER 1 | 600W N-TYPE BIFACIAL (22,2% EF.) - MICROINVERSOR TSUNESS2250W - 1,20 kWp - Cerâmico - CD ESPÍRITO SANTO","R$2.706,07",Quantidade: 2,Quantidade: 1,https://app.fotus.com.br/#collapse0,2,1,1,TRILHO ALUMÍNIO P/ TELHADO CERÂMICO/FIBROCIMENTO | CCM | 2.40M,2,KIT TELHADO CERAMICO | CCM | 4 MÓDULOS (4.8M),KIT FIXAÇÃO P/ MICROINVERSOR | CCM,1,CONECTOR | FEMEA/MACHO | TIPO MC4,4
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/74eda2f6-b062-4f56-a44e-56b455b3aaba.webp?t=1759436931,"KP04 - ASTRONERGY | TIER 1 | 600W N-TYPE BIFACIAL (22,2% EF.) - MICROINVERSOR TSUNESS2250W - 1,20 kWp - Mini Trilho - CD ESPÍRITO SANTO","R$2.710,83",Quantidade: 2,Quantidade: 1,https://app.fotus.com.br/#collapse1,2,1,1,KIT FIXAÇÃO P/ MICROINVERSOR | CCM,1,KIT TELHADO MINITRILHO ALTO 10cm | CCM | 4 MÓDULOS,CONECTOR | FEMEA/MACHO | TIPO MC4,4,,
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/ac94b511-34b9-46aa-8292-9cd9f500db43.webp?t=1759436934,"KP04 - ASTRONERGY | TIER 1 | 600W N-TYPE BIFACIAL (22,2% EF.) - MICROINVERSOR TSUNESS2250W - 1,20 kWp - Fibrocimento - CD ESPÍRITO SANTO","R$2.724,81",Quantidade: 2,Quantidade: 1,https://app.fotus.com.br/#collapse2,2,1,1,KIT FIXAÇÃO P/ MICROINVERSOR | PERFIL ALUMÍNIO/SOLAR GROUP/PRATYC,1,KIT TELHADO FIBROCIMENTO | SOLAR GROUP | FIXAÇÃO LATERAL | 4 MÓDULOS (4.8M),TRILHO ALUMÍNIO P/ TELHADO CERÂMICO/FIBROCIMENTO | SOLAR GROUP | 2.4M | FIXAÇÃO LATERAL,2,CONECTOR | FEMEA/MACHO | TIPO MC4,4
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/de3bfda1-01bb-402f-ac23-d10d8a367e1b.webp?t=1759437062,"KP04 - ASTRONERGY | TIER 1 | 600W N-TYPE BIFACIAL (22,2% EF.) - MICROINVERSOR TSUNESS2250W - 2,40 kWp - Mini Trilho - CD ESPÍRITO SANTO","R$3.659,25",Quantidade: 4,Quantidade: 1,https://app.fotus.com.br/#collapse3,4,1,1,KIT FIXAÇÃO P/ MICROINVERSOR | CCM,1,KIT TELHADO MINITRILHO ALTO 10cm | CCM | 4 MÓDULOS,CONECTOR | FEMEA/MACHO | TIPO MC4,8,,
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/bb7d9aa3-eb7e-4580-a472-e41da64bf1c9.webp?t=1759437064,"KP04 - ASTRONERGY | TIER 1 | 600W N-TYPE BIFACIAL (22,2% EF.) - MICROINVERSOR TSUNESS2250W - 2,40 kWp - Cerâmico - CD ESPÍRITO SANTO","R$3.760,03",Quantidade: 4,Quantidade: 1,https://app.fotus.com.br/#collapse4,4,1,1,TRILHO ALUMÍNIO P/ TELHADO CERÂMICO/FIBROCIMENTO | CCM | 2.40M,4,KIT TELHADO CERAMICO | CCM | 4 MÓDULOS (4.8M),KIT FIXAÇÃO P/ MICROINVERSOR | CCM,1,CONECTOR | FEMEA/MACHO | TIPO MC4,8
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/43052252-9c33-4942-89bb-b03ed70b16eb.webp?t=1759437065,"KP04 - ASTRONERGY | TIER 1 | 600W N-TYPE BIFACIAL (22,2% EF.) - MICROINVERSOR TSUNESS2250W - 2,40 kWp - Fibrocimento - CD ESPÍRITO SANTO","R$3.776,23",Quantidade: 4,Quantidade: 1,https://app.fotus.com.br/#collapse5,4,1,1,KIT FIXAÇÃO P/ MICROINVERSOR | PERFIL ALUMÍNIO/SOLAR GROUP/PRATYC,1,KIT TELHADO FIBROCIMENTO | SOLAR GROUP | FIXAÇÃO LATERAL | 4 MÓDULOS (4.8M),TRILHO ALUMÍNIO P/ TELHADO CERÂMICO/FIBROCIMENTO | SOLAR GROUP | 2.4M | FIXAÇÃO LATERAL,4,CONECTOR | FEMEA/MACHO | TIPO MC4,8
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/467e5835-3bbe-419b-b04d-440686f2d691.webp?t=1759437592,"KP04 - ASTRONERGY | TIER 1 | 600W N-TYPE BIFACIAL (22,2% EF.) - MICROINVERSOR TSUNESS2250W - 3,60 kWp - Mini Trilho - CD ESPÍRITO SANTO","R$5.654,10",Quantidade: 6,Quantidade: 2,https://app.fotus.com.br/#collapse6,6,2,1,KIT FIXAÇÃO P/ MICROINVERSOR | CCM,2,KIT TELHADO MINITRILHO ALTO 10cm | CCM | 4 MÓDULOS,CONECTOR | FEMEA/MACHO | TIPO MC4,12,,
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/cfd73018-f663-4c91-852d-983376439dc4.webp?t=1759437594,"KP04 - ASTRONERGY | TIER 1 | 600W N-TYPE BIFACIAL (22,2% EF.) - MICROINVERSOR TSUNESS2250W - 3,60 kWp - Cerâmico - CD ESPÍRITO SANTO","R$5.750,12",Quantidade: 6,Quantidade: 2,https://app.fotus.com.br/#collapse7,6,2,1,TRILHO ALUMÍNIO P/ TELHADO CERÂMICO/FIBROCIMENTO | CCM | 2.40M,6,KIT TELHADO CERAMICO | CCM | 4 MÓDULOS (4.8M),KIT FIXAÇÃO P/ MICROINVERSOR | CCM,2,CONECTOR | FEMEA/MACHO | TIPO MC4,12
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/20efeca7-b3eb-4d77-a122-bb38a4a60f5f.webp?t=1759437707,"KP04 - ASTRONERGY | TIER 1 | 600W N-TYPE BIFACIAL (22,2% EF.) - MICROINVERSOR TSUNESS2250W - 4,80 kWp - Mini Trilho - CD ESPÍRITO SANTO","R$6.602,52",Quantidade: 8,Quantidade: 2,https://app.fotus.com.br/#collapse8,8,2,1,KIT FIXAÇÃO P/ MICROINVERSOR | CCM,2,KIT TELHADO MINITRILHO ALTO 10cm | CCM | 4 MÓDULOS,CONECTOR | FEMEA/MACHO | TIPO MC4,16,,
https://solaryum-public-assets.s3.sa-east-1.amazonaws.com/983/produtos/484cc7bb-e19d-4000-8c6b-c37bf4a6dfc8.webp?t=1759437709,"KP04 - ASTRONERGY | TIER 1 | 600W N-TYPE BIFACIAL (22,2% EF.) - MICROINVERSOR TSUNESS2250W - 4,80 kWp - Cerâmico - CD ESPÍRITO SANTO","R$6.804,08",Quantidade: 8,Quantidade: 2,https://app.fotus.com.br/#collapse9,8,2,1,TRILHO ALUMÍNIO P/ TELHADO CERÂMICO/FIBROCIMENTO | CCM | 2.40M,8,KIT TELHADO CERAMICO | CCM | 4 MÓDULOS (4.8M),KIT FIXAÇÃO P/ MICROINVERSOR | CCM,2,CONECTOR | FEMEA/MACHO | TIPO MC4,16
