mnl__label__root,MuiStack-root href,MuiBox-root src,MuiTypography-root,MuiTypography-root 2,MuiTypography-root 4,notranslate,MuiButtonBase-root 3
ATÉ 10.19%,https://portalb2b.neosolar.com.br/novo-pedido/produto/24964,https://portal.zydon.com.br/api/files/7f138069-e12b-41dd-a8a6-5b0e3486fc2f/content?ingress=portalb2b.neosolar.com.br,PAINEL SOLAR FOTOVOLTAICO DAH SOLAR DHN-66Z16/DG (620WP),Painel Solar 620W DAH com 132 células de silício monocristalinos. Gera até 2800Wh/dia em condições de STC e possui garantia de 15 anos contra defeito de fabricação,"R$ 617,57",​,
ATÉ 7.85%,https://portalb2b.neosolar.com.br/novo-pedido/produto/24463,https://portal.zydon.com.br/api/files/4d4c5ff6-6797-4fcb-ba4e-6c2159e82519/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 10W ZTROON - ZTP-010MI,Painel Solar 10W ZTROON com 36 células de silício monocristalinos. Gera até 50Wh/dia em condições de STC e possui garantia de 10 anos contra defeito de fabricação,"R$ 62,45",​,
ATÉ 8.42%,https://portalb2b.neosolar.com.br/novo-pedido/produto/24459,https://portal.zydon.com.br/api/files/786ae01b-00ad-4afd-9b25-6fd5b6c87ba3/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 100W Monocristalina - ZTROON - ZTP-100MI,Painel Solar 100W ZTROON com 30 células de silício monocristalinos. Gera até 500Wh/dia em condições de STC e possui garantia de 12 anos contra defeito de fabricação,"R$ 158,19",​,
ATÉ 6.9%,https://portalb2b.neosolar.com.br/novo-pedido/produto/24462,https://portal.zydon.com.br/api/files/3c409e1d-1df3-4961-a740-b505144e5c33/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 20W ZTROON - ZTP-020MI,Painel Solar 20W ZTROON com 36 células de silício monocristalinos. Gera até 100Wh/dia em condições de STC e possui garantia de 12 anos contra defeito de fabricação,"R$ 78,26",​,
ATÉ 3.68%,https://portalb2b.neosolar.com.br/novo-pedido/produto/24465,https://portal.zydon.com.br/api/files/4849c895-9aa6-480f-b039-a90b0fd52c59/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 160W Monocristalina - ZTROON - ZTP-160MI,Painel Solar 160W ZTROON com 33 células de silício monocristalinos. Gera até 800Wh/dia em condições de STC e possui garantia de 15 anos contra defeito de fabricação,"R$ 237,66",​,
,https://portalb2b.neosolar.com.br/novo-pedido/produto/24460,https://portal.zydon.com.br/api/files/90c07254-50bd-4a67-bb96-3e311e70f4b2/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 60W - ZTROON - ZTP-060MI,Painel Solar 60W ZTROON com 36 células de silício monocristalinos PERC. Gera até 30Wh/dia em condições de STC e possui garantia de 12 anos contra defeito de fabricação.,"R$ 133,59",​,
ATÉ 14.67%,https://portalb2b.neosolar.com.br/novo-pedido/produto/24263,https://portal.zydon.com.br/api/files/e5d15ce3-4577-4d79-8933-b4970a4075b1/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica Bifacial 620W - OSDA ODA620-33V-MHDRZ,O Painel Solar de 620W da marca OSDA possui 132 células de silício monocristalino com tecnologia TOPCON e pode gerar até 2.480Wh/dia. Garantia de 15 anos (já incluindo os 90 dias da garantia legal) contra defeito de fabricação e garantia linear de produção de 30 anos.,"R$ 599,90",​,
,https://portalb2b.neosolar.com.br/novo-pedido/produto/20104,https://portal.zydon.com.br/api/files/a7d02611-741c-4085-be2f-f87d408eb0d6/content?ingress=portalb2b.neosolar.com.br,Carregador Solar Portátil 5W Monocristalina - NeoSolar,Carregador solar portátil de 5W com porta USB 5V / 1A para uso com Energia Solar Fotovoltaica.,"R$ 46,64",​,
,https://portalb2b.neosolar.com.br/novo-pedido/produto/23114,https://portal.zydon.com.br/api/files/a020570f-b5af-472b-8a16-cd82eded01b0/content?ingress=portalb2b.neosolar.com.br,Placa Solar Flexível 100W Monocristalina ZTROON ZTF-100M,"Painel Solar Flexível 100W ZTF-100MT - G  | Marca: ZTROON | 36 Células de Silício Monocristalino | Eficiência: 16,53% | Grau de Proteção: IP67","R$ 308,85",​,
ATÉ 4.71%,https://portalb2b.neosolar.com.br/novo-pedido/produto/24095,https://portal.zydon.com.br/api/files/764b3d9b-0090-4183-8c3d-d14db3d6fade/content?ingress=portalb2b.neosolar.com.br,Painel Solar Fotovoltaico 225W - Longi LR5-28HTH 225M,O Painel Solar de 225W da marca Longi possui 56 células de silício monocristalino e pode gerar até 900Wh/dia. Garantia de 5 anos contra defeito de fabricação e garantia linear de produção de 5 anos.,"R$ 290,67",​,
ATÉ 2.2%,https://portalb2b.neosolar.com.br/novo-pedido/produto/24466,https://portal.zydon.com.br/api/files/ee5c7665-768a-4bf5-b77c-feb81ab0de7e/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 340W Monocristalina - ZTROON - ZTP-340MI,Painel Solar 340W ZTROON com 68 células de silício monocristalinos. Gera até 1.700Wh/dia em condições de STC e possui garantia de 15 anos contra defeito de fabricação,"R$ 432,03",​,
,https://portalb2b.neosolar.com.br/novo-pedido/produto/22904,https://portal.zydon.com.br/api/files/974bbaca-ab48-4c45-ade1-96881efd28bd/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 30W Monocristalina - ZTROON - ZTP-030M,Painel Solar 30W ZTROON com 36 células de silício monocristalinos. Gera até 150Wh/dia em condições de STC e possui garantia de 10 anos contra defeito de fabricação,"R$ 94,07",​,
,https://portalb2b.neosolar.com.br/novo-pedido/produto/23115,https://portal.zydon.com.br/api/files/1bf6ecbd-4819-43ad-a8d5-f22da07f8230/content?ingress=portalb2b.neosolar.com.br,Placa Solar Flexível 160W Monocristalina ZTROON ZTF-160MT,"Painel Solar Flexível 160W ZTF-160M - G  | Marca: ZTROON | 36 Células de Silício Monocristalino | Eficiência: 17,24% | Grau de Proteção: IP67","R$ 459,51",​,
,https://portalb2b.neosolar.com.br/novo-pedido/produto/20562,https://portal.zydon.com.br/api/files/90acf39f-5e4b-4bd2-a715-de7b5e0844e6/content?ingress=portalb2b.neosolar.com.br,Carregador Solar Portátil 10W Monocristalina - NeoSolar,Carregador solar portátil de 10W com porta USB 5V / 2A para uso com Energia Solar Fotovoltaica.,"R$ 78,26",​,
ATÉ 1.36%,https://portalb2b.neosolar.com.br/novo-pedido/produto/23168,https://portal.zydon.com.br/api/files/1dd0cdbd-d9b4-49fe-bbb9-e8c9bbaf58a9/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 260W Monocristalina - ZTROON - ZTP-260M,Painel Solar 260W ZTROON com 56 células de silício monocristalinos. Gera até 1.300 Wh/dia em condições de STC e possui garantia de 10 anos contra defeito de fabricação,"R$ 341,90",​,
ATÉ 2.71%,https://portalb2b.neosolar.com.br/novo-pedido/produto/24464,https://portal.zydon.com.br/api/files/4ad82df3-cd35-4a50-a1db-26cbac4b0ba9/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 310W Monocristalina - ZTROON - ZTP-310MI,Painel Solar 310W ZTROON com 60 células de silício monocristalinos. Gera até 1.290Wh/dia em condições de STC e possui garantia de 15 anos contra defeito de fabricação,"R$ 377,98",​,
ATÉ 5.45%,https://portalb2b.neosolar.com.br/novo-pedido/produto/23167,https://portal.zydon.com.br/api/files/b15a75ee-cef2-4865-8910-aa93e665bc45/content?ingress=portalb2b.neosolar.com.br,Placa Solar Fotovoltaica 210W Monocristalina - ZTROON - ZTP-210M,Painel Solar 210W ZTROON com 64 células de silício monocristalinos. Gera até 1.050Wh/dia em condições de STC e possui garantia de 10 anos contra defeito de fabricação,"R$ 287,77",​,
