MuiStack-root href,MuiBox-root src,MuiTypography-root,MuiTypography-root 2,MuiTypography-root 4,notranslate,MuiButtonBase-root 3
https://portalb2b.neosolar.com.br/novo-pedido/produto/20078,https://portal.zydon.com.br/api/files/dc632d4a-3c4e-4843-824e-4f5b97b7a782/content?ingress=portalb2b.neosolar.com.br,"Cabo Lafeber 6mm² - Vermelho 1,8 kV (metro)","O cabo Solar Vermelho Lafeber 6mm² - Vermelho 1,8 kV - Resistente a raios UV - Cada unidade corresponde a 1 metro.","R$ 6,71",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20077,https://portal.zydon.com.br/api/files/2303ca4d-8d14-4b77-88ad-99da084c089c/content?ingress=portalb2b.neosolar.com.br,"Cabo Lafeber 6mm² - Preto 1,8 kV (metro)","O cabo Solar Preto Lafeber 6mm² - Preto 1,8 kV - Resistente a raios UV - Cada unidade corresponde a 1 metro.","R$ 6,71",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20121,https://portal.zydon.com.br/api/files/b132996e-0d4a-4386-bc01-10d24b6d9022/content?ingress=portalb2b.neosolar.com.br,Conector MC4 (par) - Proauto,"Conectores tipo MC4 foram especificamente desenvolvidos para sistemas fotovoltaicos. Tenha uma instalação profissional, aumentando a durabilidade e confiabilidade nas conexões.","R$ 9,63",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20369,https://portal.zydon.com.br/api/files/e7e64039-32bd-4a3f-a34b-d0c6b6d948d8/content?ingress=portalb2b.neosolar.com.br,Sensor de Temperatura Epever RTS300R47K3.81A,"Sensor da Epever para monitoramento de temperatura do banco de baterias, para gerenciamento de armazenamento de energia e preservação da vida útil das baterias.","R$ 15,77",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20122,https://portal.zydon.com.br/api/files/d05f4589-fd3a-4404-a2e7-398841db4d1c/content?ingress=portalb2b.neosolar.com.br,Conector MC4 - Multibranch Proauto (par),"Conectores MC4 Multibranch Proauto foram projetado para fazer conexões de painéis fotovoltaicos em paralelo.
Tenha uma instalação profissional, aumentando a durabilidade e confiabilidade nas conexões.","R$ 77,98",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20286,https://portal.zydon.com.br/api/files/c697a21f-75fd-4e49-93d6-173ed1bd3712/content?ingress=portalb2b.neosolar.com.br,Medidor Remoto Epever MT-75 para Controlador de Carga e Inversor Solar,Monitore em tempo real os principais dados do controlador de carga e inversor solar simultaneamente.,"R$ 199,76",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23780,https://portal.zydon.com.br/api/files/e99a7155-0c24-4be7-b7c8-8a67e6a41d5a/content?ingress=portalb2b.neosolar.com.br,Kit de Montagem - Estrutura de Fixação para Telha Mini Trilho - Solar System,"Kit de Montagem para Telhado Mini Trilho - Inclui Suporte Z, Perfil H, Fixador Central e Fixador Final. Indicado para instalação de 04 placas solares ou 01 microinversor.",,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/20925,https://portal.zydon.com.br/api/files/806b0b15-17f1-4094-9ef4-83c3205377b9/content?ingress=portalb2b.neosolar.com.br,Módulo Epever Wi-Fi 2.4G RJ45 D - Energia Solar,"Módulo Epever Wi-Fi 2.4G RJ45 D - indicado para inversor, controlador de carga e inversor-carregador da marca Epever (modelos com conexão DB9).","R$ 101,48",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23504,https://portal.zydon.com.br/api/files/829eb410-e3ba-46a2-a47e-434ab6c50e6a/content?ingress=portalb2b.neosolar.com.br,Kit de Montagem - Estrutura de Fixação para Telha Fibrocimento c/ Estrutura de Madeira - Solar System,"Kit de Montagem para Telhado c/ estrutura de madeira - Inclui Perfil H, parafuso rosca dupla estrutural p/ madeira, fixador final e fixador central. Indicado para instalação de 04 placas solares ou 01 microinversor.","R$ 429,08",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23503,https://portal.zydon.com.br/api/files/529f350a-60ed-404f-adaa-53f87b1c63a0/content?ingress=portalb2b.neosolar.com.br,Kit de Montagem - Estrutura de Fixação para Telha Cerâmica - Solar System,"Kit de Montagem para Telhado cerâmico - Inclui Suporte Z, Perfil H, fixador central e fixador terminal. Indicado para instalação de 04 placas solares ou 01 microinversor.","R$ 458,94",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23505,https://portal.zydon.com.br/api/files/8236b883-9053-481d-84a5-e9d086cb77df/content?ingress=portalb2b.neosolar.com.br,Kit de Montagem - Estrutura de Fixação para Telha Fibrocimento c/ Estrutura de Metálica - Solar System,"Kit de Montagem para Telhado c/ estrutura metálica - Inclui Perfil H, parafuso rosca dupla estrutural p/ metal, fixador final e fixador central. Indicado para instalação de 04 placas solares ou 01 microinversor.","R$ 480,18",​,
