loaded src,loaded src 2,subtitle,price
https://cdn-ecommerce.solfacil.com.br/contents/products/052097/images/image.png,https://cdn-ecommerce.solfacil.com.br/contents/products/052097/images/image.png,"CABO FLEX 1KV 25MM VM C/RL 2,5MT","R$ 21,83"
https://cdn-ecommerce.solfacil.com.br/contents/products/052011/images/image.png,https://cdn-ecommerce.solfacil.com.br/contents/products/052011/images/image.png,"CABO FLEX 1KV 16MM VM C/RL 2,5MT","R$ 21,83"
https://cdn-ecommerce.solfacil.com.br/contents/products/052009/images/image.png,https://cdn-ecommerce.solfacil.com.br/contents/products/052009/images/image.png,"CABO FLEX 1KV 16MM PT C/RL 2,5MT","R$ 21,83"
https://cdn-ecommerce.solfacil.com.br/contents/products/052129/images/IMAGE_PRODUCT_052129.png,https://cdn-ecommerce.solfacil.com.br/contents/products/052129/images/IMAGE_PRODUCT_052129.png,"CABO SOLAR 4,0MM2 PRETO C/ 8 MT (PROTECAO UV 1,8KVCC)","R$ 44,80"
https://cdn-ecommerce.solfacil.com.br/contents/products/052130/images/IMAGE_PRODUCT_052130.png,https://cdn-ecommerce.solfacil.com.br/contents/products/052130/images/IMAGE_PRODUCT_052130.png,"CABO SOLAR 4,0MM2 VERMELHO C/ 8 MT (PROTECAO UV 1,8KVCC)","R$ 44,80"
https://cdn-ecommerce.solfacil.com.br/contents/products/052082/images/image.webp,,"CABO SOLAR 4,0MM2 PRETO C/ 25 MT (PROTECAO UV 1,8KVCC)","R$ 134,40"
https://cdn-ecommerce.solfacil.com.br/contents/products/052078/images/image.webp,https://cdn-ecommerce.solfacil.com.br/contents/products/052078/images/image.webp,"CABO SOLAR 4,0MM2 VERMELHO C/25 MT (PROTECAO UV 1,8KVCC)","R$ 134,40"
https://cdn-ecommerce.solfacil.com.br/contents/products/052089/images/image.webp,https://cdn-ecommerce.solfacil.com.br/contents/products/052089/images/image.webp,"CABO SOLAR 6,0MM2 PRETO C/ 25 MT (PROTECAO UV 1,8KVCC)","R$ 185,63"
https://cdn-ecommerce.solfacil.com.br/contents/products/052093/images/image.webp,https://cdn-ecommerce.solfacil.com.br/contents/products/052093/images/image.webp,"CABO SOLAR 6,0MM2 VERMELHO C/25 MT (PROTECAO UV 1,8KVCC)","R$ 185,63"
https://cdn-ecommerce.solfacil.com.br/contents/products/052079/images/image.webp,https://cdn-ecommerce.solfacil.com.br/contents/products/052079/images/image.webp,"CABO SOLAR 4,0MM2 VERMELHO C/ 50 MT (PROTECAO UV 1,8KVCC)","R$ 266,00"
https://cdn-ecommerce.solfacil.com.br/contents/products/052083/images/image.webp,,"CABO SOLAR 4,0MM2 PRETO C/ 50 MT (PROTECAO UV 1,8KVCC)","R$ 266,00"
https://cdn-ecommerce.solfacil.com.br/contents/products/052092/images/image.webp,,"CABO SOLAR 6,0MM2 VERMELHO C/ 50 MT (PROTECAO UV 1,8KVCC)","R$ 366,80"
https://cdn-ecommerce.solfacil.com.br/contents/products/052088/images/image.webp,,"CABO SOLAR 6,0MM2 PRETO C/ 50 MT (PROTECAO UV 1,8KVCC)","R$ 366,80"
https://cdn-ecommerce.solfacil.com.br/contents/products/052080/images/image.webp,,"CABO SOLAR 4,0MM2 VERMELHO C/ 75 MT (PROTECAO UV 1,8KVCC)","R$ 392,00"
https://cdn-ecommerce.solfacil.com.br/contents/products/052084/images/image.webp,,"CABO SOLAR 4,0MM2 PRETO C/ 75 MT (PROTECAO UV 1,8KVCC)","R$ 392,00"
https://cdn-ecommerce.solfacil.com.br/contents/products/052081/images/image.webp,,"CABO SOLAR 4,0MM2 VERMELHO C/ 100 MT (PROTECAO UV 1,8KVCC)","R$ 515,20"
https://cdn-ecommerce.solfacil.com.br/contents/products/052085/images/image.webp,,"CABO SOLAR 4,0MM2 PRETO C/ 100 MT (PROTECAO UV 1,8KVCC)","R$ 515,20"
https://cdn-ecommerce.solfacil.com.br/contents/products/052091/images/image.webp,,"CABO SOLAR 6,0MM2 VERMELHO C/ 75 MT COM PROTECAO UV 1,8KVCC","R$ 551,60"
https://cdn-ecommerce.solfacil.com.br/contents/products/052087/images/image.webp,,"CABO SOLAR 6,0MM2 PRETO C/ 75 MT (PROTECAO UV 1,8KVCC)","R$ 551,60"
https://cdn-ecommerce.solfacil.com.br/contents/products/052115/images/IMAGE_PRODUCT_052115.jpg,,"CABO CA 1KV 4,0MM PRETO C/ 100 M (CABRNAX 90°C)","R$ 573,13"
,,"CABO CA 1KV 4,0MM VERMELHO C/ 100 M (CABRNAX 90°C)","R$ 573,13"
,,"CABO SOLAR 6,0MM2 PRETO C/ 100 MT (PROTECAO UV 1,8KVCC)","R$ 734,47"
https://cdn-ecommerce.solfacil.com.br/contents/products/052090/images/image.webp,,"CABO SOLAR 6,0MM2 VERMELHO C/ 100 MT (PROTECAO UV 1,8KVCC)","R$ 734,47"
https://cdn-ecommerce.solfacil.com.br/contents/products/052118/images/IMAGE_PRODUCT_052118.png,,"CABO CA 1KV 6,0MM VERMELHO C/ 100 M (CABRNAX 90°C)","R$ 822,75"
