id,sku,name,manufacturer,model,category,price_brl,power_w,efficiency,voltage_v,current_a,image_path,source,availability,description,image_tier,specs_count
"FORTLEV-GROWATT-AXE-5.0L","5.0L","Bateria Growatt AXE 5.0L LiFePO4 5kWh","Growatt","","others","6716.83","5000","","51.2","10","/static/images-catálogo_distribuidores/SOLFACIL-INVERTERS/GROWATT-MAC 36KTL3-XL - AFCI_IMAGE_PRODUCT_600303.png","Fortlev","true","Bateria de lítio LiFePO4 5kWh para sistemas híbridos e antiapagão. 6000 ciclos a 80%, DoD 95%, garantia 10 anos. Ideal para aplicações residenciais e comerciais com alta confiabilidade.","","11"
"FORTLEV-GROWATT-THOR07AS-P","","Carregador EV Growatt THOR07AS-P 7kW","Growatt","","others","3423.66","7000","","220","7","/static/images-catálogo_distribuidores/SOLFACIL-INVERTERS/GROWATT-MAC 36KTL3-XL - AFCI_IMAGE_PRODUCT_600303.png","Fortlev","true","Carregador veicular 7kW com integração solar (PV-linkage), WiFi e controle por app. Conector Type 2, proteção IP55, ideal para residências com energia solar e veículos elétricos.","","10"
"solfacil_accessories_1","","KIT FIXACAO FINAL TF-015 P/ 2 MODULOS P/ SISTEMA FOTOVOLTAICO (TF 007)","SOLFACIL","","accessories","7.48","","","","","/catalog/images/SOLFACIL-ACCESSORIES/IMAGE_PRODUCT_450083.png","loja.solfacil.com.br","true","KIT FIXACAO FINAL TF-015 P/ 2 MODULOS P/ SISTEMA FOTOVOLTAICO (TF 007)","","0"
"solfacil_accessories_2","","KIT FIXADOR MICRO INVERSOR P/ PERFIL LATERAL (C/ SUPORTE L)","SOLFACIL","","accessories","16","","","","","/catalog/images/SOLFACIL-ACCESSORIES/IMAGE_PRODUCT_450114.png","loja.solfacil.com.br","true","KIT FIXADOR MICRO INVERSOR P/ PERFIL LATERAL (C/ SUPORTE L)","","0"
"solfacil_accessories_3","","SUPORTE P/ TELHA FIBROCIMENTO E METALICO ONDULADO - FIXACAO EM METAL- P/ PERFIL TF-007 - NV","SOLFACIL","","accessories","68.52","","","","","/static/images-catálogo_distribuidores/FOTUS-KITS/FOTUS-KP02-1065kWp-Fibrocimento-kits.jpg","loja.solfacil.com.br","true","SUPORTE P/ TELHA FIBROCIMENTO E METALICO ONDULADO - FIXACAO EM METAL- P/ PERFIL TF-007 - NV","","0"
"solfacil_accessories_4","","KIT SUPORTE P/ TELHA ONDULADO METALICO - FIXACAO EM METAL - P/ 2 MÓDULOS - S/ PERFIL (M1) - TSUN","SOLFACIL","","accessories","80.05","","","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-ESTRUTURA-SOLARGROUP-METALICO.jpg","loja.solfacil.com.br","true","KIT SUPORTE P/ TELHA ONDULADO METALICO - FIXACAO EM METAL - P/ 2 MÓDULOS - S/ PERFIL (M1) - TSUN","","0"
"solfacil_accessories_5","","SUPORTE P/ TELHA CERAMICA P/ 2 MODULOS P/ SISTEMA FOTOVOLTAICO (TF-007 - SUPORTE S) - S/ PERFIL","SOLFACIL","","accessories","105.21","","","","","/catalog/images/SOLFACIL-ACCESSORIES/image.png","loja.solfacil.com.br","true","SUPORTE P/ TELHA CERAMICA P/ 2 MODULOS P/ SISTEMA FOTOVOLTAICO (TF-007 - SUPORTE S) - S/ PERFIL","","0"
"solfacil_accessories_6","","KIT SUPORTE P/ TELHA FIBROCIMENTO - PARAFUSO ESTRUTURAL - P/ 2 MÓDULOS - S/ PERFIL (M1) - TSUN","SOLFACIL","","accessories","108.95","","","","","/static/images-catálogo_distribuidores/FOTUS-KITS/FOTUS-KP02-1065kWp-Fibrocimento-kits.jpg","loja.solfacil.com.br","true","KIT SUPORTE P/ TELHA FIBROCIMENTO - PARAFUSO ESTRUTURAL - P/ 2 MÓDULOS - S/ PERFIL (M1) - TSUN","","0"
"solfacil_accessories_7","","KIT SUPORTE P/ TELHA TRAPEZOIDAL MINI-TRILHO 410MM P/ 2 MODULOS - TSUN","SOLFACIL","","accessories","125.58","","","","","/static/images-catálogo_distribuidores/FOTUS-KITS/FOTUS-KP02-1065kWp-MiniTrilho-kits.jpg","loja.solfacil.com.br","true","KIT SUPORTE P/ TELHA TRAPEZOIDAL MINI-TRILHO 410MM P/ 2 MODULOS - TSUN","","0"
"solfacil_accessories_8","","KIT SUPORTE P/ TELHA CERAMICA P/ 2 MODULOS - S/ PERFIL - CCM","SOLFACIL","","accessories","129.92","","","","","/catalog/images/SOLFACIL-ACCESSORIES/IMAGE_PRODUCT_450123.png","loja.solfacil.com.br","true","KIT SUPORTE P/ TELHA CERAMICA P/ 2 MODULOS - S/ PERFIL - CCM","","0"
"solfacil_accessories_9","","KIT SUPORTE P/ TELHA CERAMICA P/ 2 MODULOS - S/ PERFIL (M1) - TSUN","SOLFACIL","","accessories","146.62","","","","","/static/images-catálogo_distribuidores/ODEX-INVERTERS/ODEX-ODEX-PAINEL-TSUN-560W.jpg","loja.solfacil.com.br","true","KIT SUPORTE P/ TELHA CERAMICA P/ 2 MODULOS - S/ PERFIL (M1) - TSUN","","0"
"solfacil_accessories_10","","KIT SUPORTE P/ TELHA PARAFUSO ESTRUTURAL P/ 2 MODULOS - 2P - S/ PERFIL","SOLFACIL","","accessories","150.36","","","","","/catalog/images/SOLFACIL-ACCESSORIES/IMAGE_PRODUCT_450118.jpg","loja.solfacil.com.br","true","KIT SUPORTE P/ TELHA PARAFUSO ESTRUTURAL P/ 2 MODULOS - 2P - S/ PERFIL","","0"
