card-title,img-content-orders src,fw-semibold,text-orders-price
IIN00386,https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fab/IIN00386.png,HUAWEI HIBRIDO 4KW - 220V - 2 MPPT - AFCI (SUN2000-4KTL-L1),"R$ 4.467,91"
IIN00384,https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130faa/IIN00384.png,HUAWEI ON-GRID 75KW - 220V - 7 MPPT - AFCI (SUN2000-75K-MGL0-BR),"R$ 49.856,68"
IIN00383,https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fa9/IIN00383.png,HUAWEI ON-GRID 50KW - 380V - 4 MPPT - AFCI (SUN2000-50KTL-BRM3),"R$ 19.989,86"
IIN00382,https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fa8/IIN00382.png,HUAWEI ON-GRID 50KW - 220V - 7 MPPT - AFCI (SUN2000-50K-MGL0-BR),"R$ 48.965,06"
IIN00381,https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fa7/IIN00381.png,HUAWEI ON-GRID 40KW - 380V - 4 MPPT - AFCI (SUN2000-40KTL-BRM3),"R$ 18.174,85"
IIN00380,https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fa6/IIN00380.png,HUAWEI ON-GRID 30KW - 380V - 4 MPPT - AFCI (SUN2000-30KTL-BRM3),"R$ 20.833,33"
IIN00379,https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fa5/IIN00379.png,HUAWEI HIBRIDO 25KW - 380V - 2 MPPT - AFCI (SUN2000-25K-MB0),"R$ 13.737,41"
IIN00378,https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fa4/IIN00378.png,HUAWEI ON-GRID 20KW - 220V - 4 MPPT - AFCI (SUN2000-20KTL-BRM3),"R$ 16.421,86"
IIN00377,https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fa3/IIN00377.png,HUAWEI HIBRIDO 20KW - 380V - 2 MPPT - AFCI (SUN2000-20K-MB0),"R$ 12.125,60"
IIN00376,https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fa2/IIN00376_v2.png,HUAWEI HIBRIDO 15KW - 380V - 2 MPPT - AFCI (SUN2000-15K-MB0),"R$ 9.618,72"
IIN00358,https://prod-platform-api.s3.amazonaws.com/components/6899db4ee0816a394c66c168/IIN00358.png,GROWATT MAC-36KTL3-XL2 - 220V - 3MPPT,"R$ 19.427,26"
IIN00357,https://prod-platform-api.s3.amazonaws.com/components/6899db4ee0816a394c66c167/IIN00357.png,GROWATT ON-GRID 30KW - 220V - 3 MPPT - AFCI (MAC30KTL3-XL2),"R$ 17.490,64"
IIN00373,https://fortlevsolar.app/produto-avulso?familia=inverter,MEDIDOR TRIF. SOLIS DTSD1352-C-3*1(6)A,"R$ 1.277,83"
IIN00372,https://fortlevsolar.app/produto-avulso?familia=inverter,CONTROLADOR DE EXPORTAÇÃO SOLIS-EPM3-5G-PRO,"R$ 6.351,11"
IIN00360,https://fortlevsolar.app/produto-avulso?familia=inverter,FOXESS T12-G3 AFCI - 380V - 2MPPT,"R$ 7.843,24"
IIN00331,https://prod-platform-api.s3.amazonaws.com/components/686f9d3f373d34397bc3e951/GROWATT-MID40KTL3-X2---380V---4MPPT_v2.png,GROWATT ON-GRID 40KW - 380V - 4 MPPT - AFCI (MID40KTL3-X2),"R$ 14.122,65"
IIN00268,https://prod-platform-api.s3.amazonaws.com/components/686f9d3f373d34397bc3e950/SUNGROW%20SG12RT%20-%20380V%20-%202MPPT.png,SUNGROW ON-GRID 12KW - 380V - 2 MPPT - AFCI (SG12RT-P2),"R$ 8.733,03"
IIN00370,https://prod-platform-api.s3.amazonaws.com/components/6865497d9f791c3bb354c6f0/IIN00370.png,HUAWEI  HIBRIDO 8KW - 220V - 3 MPPT - AFCI (SUN2000-8KTL-LC0),"R$ 6.858,42"
IIN00368,https://prod-platform-api.s3.amazonaws.com/components/6865497d9f791c3bb354c6ee/IIN00368.png,HUAWEI  HIBRIDO 7.5KW - 220V - 3 MPPT - AFCI (SUN2000-7.5K-LC0),"R$ 6.750,50"
IIN00367,https://prod-platform-api.s3.amazonaws.com/components/68654277371780ce1447985e/IIN00367.png,HUAWEI  HIBRIDO 10KW - 220V - 3 MPPT - AFCI (SUN2000-10K-LC0),"R$ 7.381,60"
IIN00366,https://prod-platform-api.s3.amazonaws.com/components/68654277371780ce1447985d/IIN00366.png,HUAWEI  HIBRIDO 6KW - 220V - 2 MPPT - AFCI (SUN2000-6KTL-L1),"R$ 4.608,77"
