MuiStack-root href,MuiTypography-root,MuiTypography-root 2,MuiTypography-root 3,MuiTypography-root 4,MuiButtonBase-root 3
https://portalb2b.neosolar.com.br/novo-pedido/produto/26927,Kit Gerador Energia Solar 1.24kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar,"Compre múltiplos p/ maiores potências |  Energia: até 148.8kWp | Potência: 1.24kWp | Paineis: 2x 620Wp | Microinversor: Deye de 2250W | Estrutura: s/ Estrutura | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","Compre múltiplos p/ maiores potências |  Energia: até 148.8kWp | Potência: 1.24kWp | Paineis: 2x 620Wp | Microinversor: Deye de 2250W | Estrutura: s/ Estrutura | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","R$ 2.353,87",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26948,Kit Gerador Energia Solar 0.62kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar s/ Estrutura,"Compre múltiplos p/ maiores potências |  Energia: até 74.4kWp | Potência: 0.62kWp | Paineis: 1x 620Wp | Microinversor: Deye de 2250W | Estrutura: s/ Estrutura | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","Compre múltiplos p/ maiores potências |  Energia: até 74.4kWp | Potência: 0.62kWp | Paineis: 1x 620Wp | Microinversor: Deye de 2250W | Estrutura: s/ Estrutura | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","R$ 1.910,91",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26934,Kit Gerador Energia Solar 1.86kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar s/ Estrutura,"Compre múltiplos p/ maiores potências |  Energia: até 223.2kWp | Potência: 1.86kWp | Paineis: 3x 620Wp | Microinversor: Deye de 2250W | Estrutura: s/ Estrutura | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","Compre múltiplos p/ maiores potências |  Energia: até 223.2kWp | Potência: 1.86kWp | Paineis: 3x 620Wp | Microinversor: Deye de 2250W | Estrutura: s/ Estrutura | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","R$ 2.687,20",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27152,Kit Gerador Energia Solar 1.4kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar s/ Estrutura,Energia: até 168.0kWp | Potência: 1.4kWp | Paineis: 2x 700Wp | Microinversor: Deye de 2250W | Estrutura: s/ Estrutura,Energia: até 168.0kWp | Potência: 1.4kWp | Paineis: 2x 700Wp | Microinversor: Deye de 2250W | Estrutura: s/ Estrutura,"R$ 2.698,14",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27156,Kit Gerador Energia Solar 2.1kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar Estrutura p/ Madeira,Energia: até 252.0kWp | Potência: 2.1kWp | Paineis: 3x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura p/ Madeira,Energia: até 252.0kWp | Potência: 2.1kWp | Paineis: 3x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura p/ Madeira,"R$ 3.258,74",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27149,Kit Gerador Energia Solar 1.4kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar Estrutura p/ Madeira,Energia: até 168.0kWp | Potência: 1.4kWp | Paineis: 2x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura p/ Madeira,Energia: até 168.0kWp | Potência: 1.4kWp | Paineis: 2x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura p/ Madeira,"R$ 2.897,54",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26941,Kit Gerador Energia Solar 2.48kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar s/ Estrutura,"Compre múltiplos p/ maiores potências |  Energia: até 297.6kWp | Potência: 2.48kWp | Paineis: 4x 620Wp | Microinversor: Deye de 2250W | Estrutura: s/ Estrutura | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","Compre múltiplos p/ maiores potências |  Energia: até 297.6kWp | Potência: 2.48kWp | Paineis: 4x 620Wp | Microinversor: Deye de 2250W | Estrutura: s/ Estrutura | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","R$ 2.873,94",
https://portalb2b.neosolar.com.br/novo-pedido/produto/26945,Kit Gerador Energia Solar 0.62kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar c/ Parafuso Madeira,"Compre múltiplos p/ maiores potências |  Energia: até 74.4kWp | Potência: 0.62kWp | Paineis: 1x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Parafuso Madeira | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","Compre múltiplos p/ maiores potências |  Energia: até 74.4kWp | Potência: 0.62kWp | Paineis: 1x 620Wp | Microinversor: Deye de 2250W | Estrutura: c/ Parafuso Madeira | Acessórios: Conectores CA + MC4, Cabo CC, Endcap | Vca: 127/220V ou 220/380V","R$ 2.280,09",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27157,Kit Gerador Energia Solar 2.1kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar Estrutura Metálica,Energia: até 252.0kWp | Potência: 2.1kWp | Paineis: 3x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura Metálica,Energia: até 252.0kWp | Potência: 2.1kWp | Paineis: 3x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura Metálica,"R$ 3.258,74",
https://portalb2b.neosolar.com.br/novo-pedido/produto/27150,Kit Gerador Energia Solar 1.4kWp - Microinversor Deye c/ Wifi SUN2250 - Painel DAH Solar Estrutura Metálica,Energia: até 168.0kWp | Potência: 1.4kWp | Paineis: 2x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura Metálica,Energia: até 168.0kWp | Potência: 1.4kWp | Paineis: 2x 700Wp | Microinversor: Deye de 2250W | Estrutura: Estrutura Metálica,"R$ 2.897,54",
