MuiStack-root href,MuiBox-root src,MuiTypography-root,MuiTypography-root 2,MuiTypography-root 3,MuiTypography-root 4,notranslate,MuiButtonBase-root 3
https://portalb2b.neosolar.com.br/novo-pedido/produto/20863,https://portal.zydon.com.br/api/files/f5057807-4e5a-4e42-84a0-4a1a3adf5f13/content?ingress=portalb2b.neosolar.com.br,"Bomba Solar ZTROON 3"" - 180m ou 19m³/dia | 3ZTPC3.8-180-96-1500","Centrífuga | 2CV | Conexão: 1,25"" | CC: 110-150Vcc | Sub. Máx: 35m | Apenas Água Limpa","Centrífuga | 2CV | Conexão: 1,25"" | CC: 110-150Vcc | Sub. Máx: 35m | Apenas Água Limpa","R$ 1.927,65",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23757,https://portal.zydon.com.br/api/files/699bb4b0-ff8e-44fc-8977-59a88b5bc923/content?ingress=portalb2b.neosolar.com.br,Kit Bomba Solar ZTROON - 3ZTPC3.8-180-96-1500W - até 180m ou 22.800 L/dia (23757),Potência do Kit: 2.720Wp | Vazão máxima: 22.800 L/dia | Altura Manométrica máxima: 180m | Composição: 8 Painéis Solares de 340Wp + 1 Bomba Solar submersa Centrífuga.,Potência do Kit: 2.720Wp | Vazão máxima: 22.800 L/dia | Altura Manométrica máxima: 180m | Composição: 8 Painéis Solares de 340Wp + 1 Bomba Solar submersa Centrífuga.,"R$ 5.355,96",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23760,https://portal.zydon.com.br/api/files/c653cc8e-bcdb-4d99-b5c7-4689cb67ddd2/content?ingress=portalb2b.neosolar.com.br,Kit Bomba Solar Helicoidal ZTROON 3ZTS1.2-77-24-210W - até 77m ou 7.200 L/dia (23760),Potência do Kit: 340Wp | Vazão máxima: 7.200 L/dia | Altura Manométrica máxima: 77m | Composição: 1 Painel Solar de 340Wp + 1 Bomba Solar submersa Helicoidal.,Potência do Kit: 340Wp | Vazão máxima: 7.200 L/dia | Altura Manométrica máxima: 77m | Composição: 1 Painel Solar de 340Wp + 1 Bomba Solar submersa Helicoidal.,"R$ 1.788,72",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20858,https://portal.zydon.com.br/api/files/2ca2d6db-5ffd-4cc1-8bd9-1bf494ee5acf/content?ingress=portalb2b.neosolar.com.br,"Bomba Solar ZTROON 3"" - 77m ou 6m³/dia | 3ZTS1.2-77-24-210W","Helicoidal | 210W | Conexão: 0,75"" | CC: 30-48Vcc | Sub. Máx: 30m | Apenas Água Limpa","Helicoidal | 210W | Conexão: 0,75"" | CC: 30-48Vcc | Sub. Máx: 30m | Apenas Água Limpa","R$ 1.365,18",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20862,https://portal.zydon.com.br/api/files/e7886184-46e7-4a8c-a041-deef067e84ba/content?ingress=portalb2b.neosolar.com.br,"Bomba Solar ZTROON 3"" - 75m ou 26m³/dia | 3ZTPC5.2-75-96-750W","Centrífuga | 750W | Conexão: 1,5"" | CC: 110-150Vcc | Sub. Máx: 35m | Apenas Água Limpa","Centrífuga | 750W | Conexão: 1,5"" | CC: 110-150Vcc | Sub. Máx: 35m | Apenas Água Limpa","R$ 1.927,65",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23759,https://portal.zydon.com.br/api/files/bdae5acc-18e6-451f-bb19-083da80777fa/content?ingress=portalb2b.neosolar.com.br,Kit Bomba Solar Centrífuga ZTROON - 3ZTPC5.2-75-96-750W - até 75m ou 31.200 L/dia (23759),Potência do Kit: 1360Wp | Vazão máxima: 31.200 L/dia | Altura Manométrica máxima: 75m | Composição: 4 Painéis Solares de 340Wp + 1 Bomba Solar submersa Centrífuga,Potência do Kit: 1360Wp | Vazão máxima: 31.200 L/dia | Altura Manométrica máxima: 75m | Composição: 4 Painéis Solares de 340Wp + 1 Bomba Solar submersa Centrífuga,"R$ 3.595,05",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/24021,https://portal.zydon.com.br/api/files/e3ef3254-b830-4c90-9e71-4cdc365b718a/content?ingress=portalb2b.neosolar.com.br,Kit Bomba Solar Helicoidal ZTROON - 3ZTS2.0-150-48-750W - até 150m ou 12.000L/dia,Potência do Kit: 1360Wp | Vazão máxima: 12.000L/dia | Altura Manométrica máxima: 150m | Composição: 4 Painéis Solares de 340Wp + 1 Bomba Solar submersa Helioidal.,Potência do Kit: 1360Wp | Vazão máxima: 12.000L/dia | Altura Manométrica máxima: 150m | Composição: 4 Painéis Solares de 340Wp + 1 Bomba Solar submersa Helioidal.,"R$ 3.441,16",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20860,https://portal.zydon.com.br/api/files/63781a4b-0d21-413a-8e76-fa97645dbbe9/content?ingress=portalb2b.neosolar.com.br,"Bomba Solar ZTROON 3"" - 150m ou 10m³/dia | 3ZTS2.0-150-48-750W","Helicoidal | 750W | Conexão: 0,75"" | CC: 60-90Vcc | Sub. Máx: 30m | Apenas Água Limpa","Helicoidal | 750W | Conexão: 0,75"" | CC: 60-90Vcc | Sub. Máx: 30m | Apenas Água Limpa","R$ 1.686,59",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23761,https://portal.zydon.com.br/api/files/a598cf98-81a3-4099-930d-631b798105d9/content?ingress=portalb2b.neosolar.com.br,Kit Bomba Solar Híbrida ZTROON - 4ZTLR11.5-100-200-1500-A/D - até 100m ou 69.000 L/dia (23761),Potência do Kit: 2.720Wp | Vazão máxima: 69.000 L/dia | Altura Manométrica máxima: 100m | Composição: 8 Painéis Solares de 340Wp + 1 Bomba Solar submersa Híbrida.,Potência do Kit: 2.720Wp | Vazão máxima: 69.000 L/dia | Altura Manométrica máxima: 100m | Composição: 8 Painéis Solares de 340Wp + 1 Bomba Solar submersa Híbrida.,"R$ 5.883,87",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20868,https://portal.zydon.com.br/api/files/c3cc4bd2-96ce-412b-aec4-eb08b9db4aa7/content?ingress=portalb2b.neosolar.com.br,"Bomba Solar Híbrida ZTROON 4"" - 100m ou 57.5m³/dia | 4ZTLR11.5-100-200-1500-A/D","Híbrida | 2CV | Conexão: 2"" | CC: 110-400Vcc | CA: 110 - 250V | Sub. Máx: 40m | Água Limpa","Híbrida | 2CV | Conexão: 2"" | CC: 110-400Vcc | CA: 110 - 250V | Sub. Máx: 40m | Água Limpa","R$ 2.560,36",​,
