card-title,img-content-orders src,fw-semibold,text-orders-price
IDT00002,https://prod-platform-api.s3.amazonaws.com/components/689f98d8e9d290fe9bda50bb/corrugado.png,DUTO CORRUGADO CONDUFORT PEAD DN 40 - NBR 450N - (MULT. 50M),"R$ 5,66"
IDT00005,https://prod-platform-api.s3.amazonaws.com/components/689b56fef47155b8ccc92775/duto_corrugado.png,DUTO CORRUGADO CONDUFORT PEAD DN 50 - NBR 450N - (MULT. 50M),"R$ 7,96"
IIN00369,https://prod-platform-api.s3.amazonaws.com/components/6865497d9f791c3bb354c6ef/IIN00369.png,HUAWEI LOGGER SDONGLEA-05,"R$ 775,31"
IIN00353,https://fortlevsolar.app/produto-avulso?familia=dependency,FERRAMENTO DE DESCONEXÃO FOXESS Q1,"R$ 27,10"
IIN00356,https://fortlevsolar.app/produto-avulso?familia=dependency,"CABO TRONCO - FOXESS (2,4M/ 10AWG)","R$ 182,25"
IIN00355,https://fortlevsolar.app/produto-avulso?familia=dependency,CONECTOR DE BARRAMENTO CA Q1,"R$ 42,00"
IIN00354,https://fortlevsolar.app/produto-avulso?familia=dependency,CONEXTOR AC MACHO FOXESS Q1,"R$ 21,72"
IIN00351,https://fortlevsolar.app/produto-avulso?familia=dependency,TAMPA DE EXTREMIDADE DE BARRAMENTO CA,"R$ 11,12"
ISB00018,https://fortlevsolar.app/produto-avulso?familia=dependency,STRING BOX CLAMPER 1040V 32A 3E/3S,"R$ 1.685,45"
ISB00016,https://fortlevsolar.app/produto-avulso?familia=dependency,STRING BOX 1040VDC 5E/1S,"R$ 1.666,67"
ISB00015,https://fortlevsolar.app/produto-avulso?familia=dependency,STRING BOX 1040VDC 3E1S,"R$ 885,42"
ISB00017,https://fortlevsolar.app/produto-avulso?familia=dependency,STRING BOX 1040VDC 14E/1S,"R$ 7.952,35"
IIN00294,https://prod-platform-api.s3.amazonaws.com/components/67b340f26f3f323bd316cad2/icon-318x647.png,SMART METER GROWATT SPM-E,"R$ 1.041,05"
IIN00293,https://prod-platform-api.s3.amazonaws.com/components/67b340f26f3f323bd316cad1/icon-318x647.png,SMART METER GROWATT TPM-E,"R$ 1.686,43"
IIN00300,https://prod-platform-api.s3.amazonaws.com/components/674e1fe18b02c0d00962193f/DISPOSITIVO-DE-DESCONEXAO-IQ-RELAY-LN-BR.png,DISPOSITIVO DE DESCONEXAO IQ-RELAY-LN-BR,"R$ 1.562,31"
