MuiStack-root href,MuiBox-root src,MuiTypography-root,MuiTypography-root 2,MuiTypography-root 3,MuiTypography-root 4,notranslate,MuiButtonBase-root 3
https://portalb2b.neosolar.com.br/novo-pedido/produto/27314,https://portal.zydon.com.br/api/files/cfdc6dad-4082-4bb5-878a-d9b7456395f5/content?ingress=portalb2b.neosolar.com.br,"Kit Energia Solar Off Grid - 1,24kWp 100Ah/48V Lítio (27314)",2x 620Wp DAH | 1x 40A MPPT Epever | 1x 100Ah/48V Lítio Ztroon |Sem Inversor,2x 620Wp DAH | 1x 40A MPPT Epever | 1x 100Ah/48V Lítio Ztroon |Sem Inversor,"R$ 6.896,31",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/25049,https://portal.zydon.com.br/api/files/2090556f-04e2-4644-bcfb-70480e65e3af/content?ingress=portalb2b.neosolar.com.br,Kit Energia Solar Off Grid - 680Wp 100Ah/24V Lítio (25049),"2x 340Wp Ztroon | 1x 30A MPPT Epever | 1x 100Ah/25,6V Lítio Epever | Sem Inversor","2x 340Wp Ztroon | 1x 30A MPPT Epever | 1x 100Ah/25,6V Lítio Epever | Sem Inversor","R$ 5.897,16",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27475,https://portal.zydon.com.br/api/files/af8a3c8c-1ced-4340-9ee3-950705043f59/content?ingress=portalb2b.neosolar.com.br,Kit Energia Solar Off Grid - 680Wp 100Ah/24V Lítio (27475),"2x 340Wp Ztroon | 1x 30A MPPT Epever | 1x 100Ah/25,6V Lítio Epever | Sem Inversor","2x 340Wp Ztroon | 1x 30A MPPT Epever | 1x 100Ah/25,6V Lítio Epever | Sem Inversor","R$ 5.925,34",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/25164,https://portalb2b.neosolar.com.br/b2b-noimage-white.svg,Kit Energia Solar Off Grid - 680Wp 100Ah/24V Lítio 1000W/127V Ztroon,"2x 340Wp Ztroon | 1x 30A MPPT Epever | 1x 100Ah/25,6V Lítio Epever | 1x 1000W 127V Ztroon","2x 340Wp Ztroon | 1x 30A MPPT Epever | 1x 100Ah/25,6V Lítio Epever | 1x 1000W 127V Ztroon","R$ 6.760,28",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27315,,"Kit Energia Solar Off Grid - 1,24kWp 100Ah/48V Lítio (27315)",4x 620Wp DAH | 1x 40A MPPT Epever | 2x 100Ah/48V Lítio Ztroon |Sem Inversor,4x 620Wp DAH | 1x 40A MPPT Epever | 2x 100Ah/48V Lítio Ztroon |Sem Inversor,"R$ 12.909,01",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23927,,Kit Energia Solar Off Grid s/ Inversor - 30Wp 115/105Ah 12V Estacionária (23927),1x 30Wp Ztroon | 1x Bateria Estácionaria 12V 115 / 105Ah  | 1x 10A PWM Epever,1x 30Wp Ztroon | 1x Bateria Estácionaria 12V 115 / 105Ah  | 1x 10A PWM Epever,"R$ 1.248,54",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27347,,"Kit Energia Solar Off Grid - 1,24kWp 100Ah/48V Lítio - Inversor 2000W 48/127 (27347)",2x 620Wp DAH | 1x 40A MPPT Epever | 1x 100Ah/48V Lítio Ztroon | Inversor 2000W 48Vcc / 127Vca,2x 620Wp DAH | 1x 40A MPPT Epever | 1x 100Ah/48V Lítio Ztroon | Inversor 2000W 48Vcc / 127Vca,,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/27349,,"Kit Energia Solar Off Grid - 1,24kWp 100Ah/48V Lítio  - Inversor 2000W 48/127 (27349)",4x 620Wp DAH | 1x 40A MPPT Epever | 2x 100Ah/48V Lítio Ztroon | Inversor 2000W 48Vcc / 127Vca,4x 620Wp DAH | 1x 40A MPPT Epever | 2x 100Ah/48V Lítio Ztroon | Inversor 2000W 48Vcc / 127Vca,,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/23928,,Kit Energia Solar Off Grid s/ Inversor - 60Wp 115/105Ah 12V Estacionária (23928),1x 60Wp Ztroon| 1x Bateria Estácionaria 12V 115 / 105Ah  | 1x 10A PWM Epever,1x 60Wp Ztroon| 1x Bateria Estácionaria 12V 115 / 105Ah  | 1x 10A PWM Epever,"R$ 1.335,69",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27339,,Kit Energia Solar Off Grid s/ Inversor - 100Wp 115/105Ah 12V Estacionária (27339),1x 100Wp Ztroon | 1x Bateria Estácionaria 12V 115 / 105Ah  | 1x 10A PWM Epever,1x 100Wp Ztroon | 1x Bateria Estácionaria 12V 115 / 105Ah  | 1x 10A PWM Epever,"R$ 1.113,09",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23929,,Kit Energia Solar Off Grid s/ Inversor - 100Wp 115/105Ah 12V Estacionária (23929),1x 100Wp Ztroon| 1x Bateria Estacionária 12V 115 / 105Ah  | 1x 10A PWM Epever,1x 100Wp Ztroon| 1x Bateria Estacionária 12V 115 / 105Ah  | 1x 10A PWM Epever,"R$ 1.335,69",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27476,,Kit Energia Solar Off Grid - 680Wp 220Ah/24V (27476),2x 340Wp Ztroon | 1x 30A MPPT Epever | 2x 220Ah/12V Moura | Sem Inversor,2x 340Wp Ztroon | 1x 30A MPPT Epever | 2x 220Ah/12V Moura | Sem Inversor,"R$ 4.477,87",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/25131,,Kit Energia Solar para Starlink - 10h/dia (até 1.280 Wh/dia) - Chumbo (25131),Diário: 10h |Máx: 30h  | 320 Wp | 220Ah/12V Chumbo | 20A PWM | 600/12V | kit instal,Diário: 10h |Máx: 30h  | 320 Wp | 220Ah/12V Chumbo | 20A PWM | 600/12V | kit instal,"R$ 2.800,88",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/26721,,Kit Energia Solar Off Grid s/ Inversor - 320Wp 240Ah / 220Ah 12V Estacionária (26721),2x 160Wp Ztroon | 1x Bateria Estácionaria 12V 240Ah / 220Ah  | 1x 20A PWM Epever,2x 160Wp Ztroon | 1x Bateria Estácionaria 12V 240Ah / 220Ah  | 1x 20A PWM Epever,"R$ 2.249,79",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/26720,,Kit Energia Solar Off Grid s/ Inversor - 320Wp 240Ah / 220Ah 12V Estacionária (26720),2x 160Wp Ztroon| 1x Bateria Estácionaria 12V 240Ah / 220Ah  | 1x 20A PWM Epever,2x 160Wp Ztroon| 1x Bateria Estácionaria 12V 240Ah / 220Ah  | 1x 20A PWM Epever,"R$ 2.195,68",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/25158,,Kit Energia Solar Off Grid - 160Wp 105Ah/12V 600W/127V Ztroon,1x 160Wp Ztroon | 1x 10A PWM Epever | 1x 105Ah/12V Freedom | 1x 600W 127V Ztroon,1x 160Wp Ztroon | 1x 10A PWM Epever | 1x 105Ah/12V Freedom | 1x 600W 127V Ztroon,"R$ 2.066,40",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/26722,,Kit Energia Solar Off Grid s/ Inversor - 480Wp 240Ah / 220Ah 12V Estacionária (26722),3x 160Wp Ztroon | 2x Bateria Estácionaria 12V 240Ah / 220Ah  | 1x 20A PWM Epever,3x 160Wp Ztroon | 2x Bateria Estácionaria 12V 240Ah / 220Ah  | 1x 20A PWM Epever,"R$ 4.096,94",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27348,,"Kit Energia Solar Off Grid - 1,24kWp 100Ah/48V Lítio - Inversor 2000W 48/220 (27348)",2x 620Wp DAH | 1x 40A MPPT Epever | 1x 100Ah/48V Lítio Ztroon | Inversor 2000W 48Vcc / 220Vca,2x 620Wp DAH | 1x 40A MPPT Epever | 1x 100Ah/48V Lítio Ztroon | Inversor 2000W 48Vcc / 220Vca,,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/27378,,"Kit Energia Solar Off Grid - 1,24kWp 100Ah/48V Lítio  - Inversor 2000W 48/220 (27378)",4x 620Wp DAH | 1x 40A MPPT Epever | 2x 100Ah/48V Lítio Ztroon | Inversor 2000W 48Vcc / 220Vca,4x 620Wp DAH | 1x 40A MPPT Epever | 2x 100Ah/48V Lítio Ztroon | Inversor 2000W 48Vcc / 220Vca,"R$ 13.837,36",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27313,,Kit Energia Solar Off Grid s/ Inversor - 960Wp 240Ah / 220Ah 12V Estacionária (27313),6x 160Wp Ztroon | 3x Bateria Estácionaria 12V 240Ah / 220Ah  | 1x 60A PWM Epever,6x 160Wp Ztroon | 3x Bateria Estácionaria 12V 240Ah / 220Ah  | 1x 60A PWM Epever,"R$ 6.603,59",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/25130,,Kit Energia Solar para Starlink - 06h/dia (até 640 Wh/dia) - Chumbo (25130),Diário: 06h |Máx: 18h  | 160 Wp | 150Ah/12V Chumbo | 10A PWM | 600/12V | kit instal,Diário: 06h |Máx: 18h  | 160 Wp | 150Ah/12V Chumbo | 10A PWM | 600/12V | kit instal,"R$ 2.365,80",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/25048,,Kit Energia Solar Off Grid - 340Wp 105Ah/24V (25048),1x 340Wp Ztroon | 1x 10A PWM Epever | 2x 105Ah/12V Freedom | Sem Inversor,1x 340Wp Ztroon | 1x 10A PWM Epever | 2x 105Ah/12V Freedom | Sem Inversor,"R$ 2.596,31",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/25047,,Kit Energia Solar Off Grid - 320Wp 150Ah/12V (25047),2x 160Wp Ztroon | 1x 20A PWM Epever | 1x 150Ah/12V Freedom | Sem Inversor,2x 160Wp Ztroon | 1x 20A PWM Epever | 1x 150Ah/12V Freedom | Sem Inversor,"R$ 2.159,10",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/25163,,Kit Energia Solar Off Grid - 340Wp 105Ah/24V 1000W/220V Ztroon,1x 340Wp Ztroon | 1x 10A PWM Epever | 2x 105Ah/12V Freedom | 1x 1000W 220V Ztroon,1x 340Wp Ztroon | 1x 10A PWM Epever | 2x 105Ah/12V Freedom | 1x 1000W 220V Ztroon,"R$ 3.511,28",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/25160,,Kit Energia Solar Off Grid - 320Wp 150Ah/12V 600W/127V Ztroon,2x 160Wp Ztroon | 1x 20A PWM Epever | 1x 150Ah/12V Freedom | 1x 600W 127V Ztroon,2x 160Wp Ztroon | 1x 20A PWM Epever | 1x 150Ah/12V Freedom | 1x 600W 127V Ztroon,"R$ 2.808,15",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/25162,,Kit Energia Solar Off Grid - 340Wp 105Ah/24V 1000W/127V Ztroon,1x 340Wp Ztroon | 1x 10A PWM Epever | 2x 105Ah/12V Freedom | 1x 1000W 127V Ztroon,1x 340Wp Ztroon | 1x 10A PWM Epever | 2x 105Ah/12V Freedom | 1x 1000W 127V Ztroon,"R$ 3.459,44",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27267,,"Kit de Energia Solar Off Grid c/ Inv-car - 2,5kWp 100Ah 48/220V Lítio",4x 620Wp DAH | 1x 5500W Inv-carregador Must | 1x 100Ah/48V  Marca: Epever,4x 620Wp DAH | 1x 5500W Inv-carregador Must | 1x 100Ah/48V  Marca: Epever,"R$ 11.193,04",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27303,,"Kit de Energia Solar Off Grid c/ Inv-car - 2,5kWp 100Ah 48/220V Lítio",4x 620Wp DAH | 1x 5500W Inv-carregador Must | 1x 100Ah/48V  Marca: Epever,4x 620Wp DAH | 1x 5500W Inv-carregador Must | 1x 100Ah/48V  Marca: Epever,"R$ 10.911,30",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27299,,"Kit de Energia Solar Off Grid c/ Inv-car - 2,5kWp 100Ah 48/220V Lítio",4x 620Wp DAH | 1x 5500W Inv-carregador Must | 1x 100Ah/48V  Marca: Ztroon,4x 620Wp DAH | 1x 5500W Inv-carregador Must | 1x 100Ah/48V  Marca: Ztroon,"R$ 10.377,48",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27263,,"Kit de Energia Solar Off Grid c/ Inv-car - 2,5kWp 100Ah 48/220V Lítio",4x 620Wp DAH | 1x 5500W Inv-carregador Must | 1x 100Ah/48V  Marca: Ztroon,4x 620Wp DAH | 1x 5500W Inv-carregador Must | 1x 100Ah/48V  Marca: Ztroon,"R$ 10.659,23",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27259,,"Kit de Energia Solar Off Grid c/ Inv-car - 2,5kWp 100Ah 48/220V Lítio",4x 620Wp DAH | 1x 5500W Inv-carregador Must | 1x 100Ah/48V  Marca: Unipower,4x 620Wp DAH | 1x 5500W Inv-carregador Must | 1x 100Ah/48V  Marca: Unipower,"R$ 24.612,14",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23699,,Kit Energia Solar para Starlink - 06h/dia (até 640 Wh/dia) - Chumbo (23699),Diário: 06h |Máx: 18h  | 160 Wp | 150Ah/12V Chumbo | 10A PWM | 600/12V | kit instal,Diário: 06h |Máx: 18h  | 160 Wp | 150Ah/12V Chumbo | 10A PWM | 600/12V | kit instal,,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/25129,,Kit Energia Solar para Starlink - 06h/dia (até 640 Wh/dia) - Chumbo (25129),Diário: 06h |Máx: 18h  | 160 Wp | 150Ah/12V Chumbo | 10A PWM | 600/12V | kit instal,Diário: 06h |Máx: 18h  | 160 Wp | 150Ah/12V Chumbo | 10A PWM | 600/12V | kit instal,"R$ 2.308,33",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23703,,Kit Energia Solar para Starlink - 10h/dia (até 1.280 Wh/dia) - Chumbo (23703),Diário: 10h |Máx: 30h  | 320 Wp | 220Ah/12V Chumbo | 20A PWM | 600/12V | kit instal,Diário: 10h |Máx: 30h  | 320 Wp | 220Ah/12V Chumbo | 20A PWM | 600/12V | kit instal,,,Indisponível
https://portalb2b.neosolar.com.br/novo-pedido/produto/27266,,"Kit de Energia Solar Off Grid c/ Inv-car - 5,0kWp 100Ah 48/220V Lítio",8x 620Wp DAH | 1x 5500W Inv-carregador Must | 4x 100Ah/48V  Marca: Ztroon,8x 620Wp DAH | 1x 5500W Inv-carregador Must | 4x 100Ah/48V  Marca: Ztroon,"R$ 27.052,83",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27304,,"Kit de Energia Solar Off Grid c/ Inv-car - 3,7kWp 100Ah 48/220V Lítio",6x 620Wp DAH | 1x 5500W Inv-carregador Must | 2x 100Ah/48V  Marca: Epever,6x 620Wp DAH | 1x 5500W Inv-carregador Must | 2x 100Ah/48V  Marca: Epever,"R$ 17.905,56",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27298,,"Kit de Energia Solar Off Grid c/ Inv-car - 5,0kWp 100Ah 48/220V Lítio",8x 620Wp DAH | 1x 5500W Inv-carregador Must | 4x 100Ah/48V  Marca: Unipower,8x 620Wp DAH | 1x 5500W Inv-carregador Must | 4x 100Ah/48V  Marca: Unipower,"R$ 33.358,45",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/27297,,"Kit de Energia Solar Off Grid c/ Inv-car - 5,0kWp 100Ah 48/220V Lítio",8x 620Wp DAH | 1x 5500W Inv-carregador Must | 3x 100Ah/48V  Marca: Unipower,8x 620Wp DAH | 1x 5500W Inv-carregador Must | 3x 100Ah/48V  Marca: Unipower,"R$ 54.731,22",​,
