loaded src,title-left,title-right,subtitle,price
https://cdn-ecommerce.solfacil.com.br/contents/products/600340/images/IMAGE_PRODUCT_600340.jpeg,ENPHASE,IQ8P-72-2-BR,MICRO INVERSOR FOTOVOLTAICO IQ8P-72-2-BR - SUL EX 0.475KW ENPHASE MONO 220V,"R$ 1.347,65"
https://cdn-ecommerce.solfacil.com.br/contents/products/600110/images/image.png,GOODWE,EZLOGGER PRO,MEDIDOR INTELIGENTE - EZLOGGER PRO - GOODWE,"R$ 1.856,55"
https://cdn-ecommerce.solfacil.com.br/contents/products/600329/images/IMAGE_PRODUCT_600329.jpg,GOODWE,GW2000-MIS,MICRO INVERSOR FOTOVOLTAICO GW2000-MIS - SUL EX 2KW GOODWE MONO 220V,"R$ 2.250,33"
https://cdn-ecommerce.solfacil.com.br/contents/products/600076/images/image.webp,DEYE,SUN-5K-G,INVERSOR FOTOVOLTAICO SUN-5K-G EX 5KW DEYE MONO 220V,"R$ 3.531,60"
https://cdn-ecommerce.solfacil.com.br/contents/products/600252/images/image.png,GOODWE,GW 3300-XS-30 - AFCI,INVERSOR FOTOVOLTAICO GW3300-XS-30 - AFCI SUL EX 3.3KW GOODWE MONO 220V,"R$ 3.585,88"
https://cdn-ecommerce.solfacil.com.br/contents/products/600369/images/IMAGE_PRODUCT_600369.png,SOFAR,5KTLM-G3 - AFCI,INVERSOR FOTOVOLTAICO 5KTLM-G3 - AFCI - SUL EX 5KW SOFAR MONO 220V,"R$ 3.644,58"
https://cdn-ecommerce.solfacil.com.br/contents/products/600382/images/IMAGE_PRODUCT_600382.png,HUAWEI,SUN2000-3KTL-L1 - AFCI,INVERSOR FOTOVOLTAICO SUN2000-3KTL-L1 - AFCI EX 3KW HUAWEI MONO 220V,"R$ 3.785,08"
https://cdn-ecommerce.solfacil.com.br/contents/products/600079/images/image.jpg,DEYE,SUN-8K-G,INVERSOR FOTOVOLTAICO SUN-8K-G EX 8KW DEYE MONO 220V,"R$ 4.197,20"
https://cdn-ecommerce.solfacil.com.br/contents/products/600246/images/image.png,GOODWE,GW 5000-DNS-30 (16A) - AFCI,INVERSOR FOTOVOLTAICO GW5000-DNS-30 (16A) - AFCI EX 5KW GOODWE MONO 220V,"R$ 4.509,73"
https://cdn-ecommerce.solfacil.com.br/contents/products/600423/images/IMAGE_PRODUCT_600423.png,HUAWEI,SUN2000-4KTL-L1 - AFCI,INVERSOR FOTOVOLTAICO SUN2000-4KTL-L1 - AFCI EX 4KW HUAWEI MONO 220V,"R$ 4.528,03"
,GOODWE,GW8000-MS-C30 - AFCI,INVERSOR FOTOVOLTAICO GW8000-MS-C30 - AFCI - SUL EX  8KW GOODWE MONO 220V,"R$ 7.176,03"
