SKU,Título,Preço,Família,Fabricante,ComponentID,Step,Imagem
"IDT00028","DUTO CORRUGADO CONDUFORT PEAD DN 63 - NBR 680N - (MULT. 100M)","16.740729411443077","miscellaneous","","68c4044876fc8cff81c3e9f6","100","https://prod-platform-api.s3.amazonaws.com/components/68c4044876fc8cff81c3e9f6/imagem.png"
"IDT00009","DUTO CORRUGADO CONDUFORT PEAD DN 63 - NBR 680N - (MULT. 50M)","16.830323139826458","miscellaneous","","68c4044876fc8cff81c3e9f5","50","https://prod-platform-api.s3.amazonaws.com/components/68c4044876fc8cff81c3e9f5/imagem.png"
"IDT00011","DUTO CORRUGADO CONDUFORT PEAD DN 75 - NBR 450N - (MULT. 50M)","6.088333328564962","miscellaneous","","68c16f5a854b7b00f456a4b7","1","https://prod-platform-api.s3.amazonaws.com/components/68c16f5a854b7b00f456a4b7/imagem.png"
"IIN00386","HUAWEI HIBRIDO 4KW - 220V - 2 MPPT - AFCI (SUN2000-4KTL-L1)","4467.908223470053","inverter","66fd572f89c99dec90cf9134","68c008be7a9dce9e6f130fab","1","https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fab/IIN00386.png"
"IIN00384","HUAWEI ON-GRID 75KW - 220V - 7 MPPT - AFCI (SUN2000-75K-MGL0-BR)","49856.67724609375","inverter","66fd572f89c99dec90cf9134","68c008be7a9dce9e6f130faa","1","https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130faa/IIN00384.png"
"IIN00382","HUAWEI ON-GRID 50KW - 220V - 7 MPPT - AFCI (SUN2000-50K-MGL0-BR)","48965.059407552086","inverter","66fd572f89c99dec90cf9134","68c008be7a9dce9e6f130fa8","1","https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fa8/IIN00382.png"
"IIN00381","HUAWEI ON-GRID 40KW - 380V - 4 MPPT - AFCI (SUN2000-40KTL-BRM3)","18174.851481119793","inverter","66fd572f89c99dec90cf9134","68c008be7a9dce9e6f130fa7","1","https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fa7/IIN00381.png"
"IIN00380","HUAWEI ON-GRID 30KW - 380V - 4 MPPT - AFCI (SUN2000-30KTL-BRM3)","20833.333333333336","inverter","66fd572f89c99dec90cf9134","68c008be7a9dce9e6f130fa6","1","https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fa6/IIN00380.png"
"IIN00379","HUAWEI HIBRIDO 25KW - 380V - 2 MPPT - AFCI (SUN2000-25K-MB0)","13737.407430013021","inverter","66fd572f89c99dec90cf9134","68c008be7a9dce9e6f130fa5","1","https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fa5/IIN00379.png"
"IIN00378","HUAWEI ON-GRID 20KW - 220V - 4 MPPT - AFCI (SUN2000-20KTL-BRM3)","16421.86177571615","inverter","66fd572f89c99dec90cf9134","68c008be7a9dce9e6f130fa4","1","https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fa4/IIN00378.png"
"IIN00377","HUAWEI HIBRIDO 20KW - 380V - 2 MPPT - AFCI (SUN2000-20K-MB0)","12125.604248046875","inverter","66fd572f89c99dec90cf9134","68c008be7a9dce9e6f130fa3","1","https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fa3/IIN00377.png"
"IIN00376","HUAWEI HIBRIDO 15KW - 380V - 2 MPPT - AFCI (SUN2000-15K-MB0)","9618.721516927084","inverter","66fd572f89c99dec90cf9134","68c008be7a9dce9e6f130fa2","1","https://prod-platform-api.s3.amazonaws.com/components/68c008be7a9dce9e6f130fa2/IIN00376_v2.png"
"IEF00243","PERFIL SUPORTE SMART 2,70M","80.0666650136312","structure","","68bac2bf391db2d9a619787e","1","https://fortlevsolar.app/produto-avulso"
"IDT00014","DUTO CORRUGADO CONDUFORT PEAD DN 90 - NBR 450N - (MULT. 50M)","18.935990333557125","miscellaneous","","68acb2cead4b34e67bf2e282","50","https://prod-platform-api.s3.amazonaws.com/components/68acb2cead4b34e67bf2e282/corrugado.png"
"IDT00033","DUTO CORRUGADO CONDUFORT PEAD DN 90 - NBR 450N - (MULT. 100M)","19.228959083557125","miscellaneous","","68a8e16a2935473cc0199d97","100","https://prod-platform-api.s3.amazonaws.com/components/68a8e16a2935473cc0199d97/corrugado.png"
"IDT00030","DUTO CORRUGADO CONDUFORT PEAD DN 75 - NBR 450N - (MULT. 100M)","13.357916474342344","miscellaneous","","68a7034539f8f3cdba522730","100","https://prod-platform-api.s3.amazonaws.com/components/68a7034539f8f3cdba522730/corrugado.png"
"IDT00021","DUTO CORRUGADO CONDUFORT PEAD DN 40 - NBR 450N - (MULT. 100M)","5.632708470026652","miscellaneous","","689f98d8e9d290fe9bda50bc","100","https://prod-platform-api.s3.amazonaws.com/components/689f98d8e9d290fe9bda50bc/corrugado.png"
"IDT00002","DUTO CORRUGADO CONDUFORT PEAD DN 40 - NBR 450N - (MULT. 50M)","5.658124883969625","dependency","","689f98d8e9d290fe9bda50bb","50","https://prod-platform-api.s3.amazonaws.com/components/689f98d8e9d290fe9bda50bb/corrugado.png"
"IDT00020","DUTO CORRUGADO CONDUFORT  PEAD DN 32 - NBR 450N - (MULT. 100M)","5.732604364554088","miscellaneous","","689f6ea9d447e33526100c74","100","https://prod-platform-api.s3.amazonaws.com/components/689f6ea9d447e33526100c74/corrugado.png"
"IDT00001","DUTO CORRUGADO CONDUFORT  PEAD DN 32 - NBR 450N - (MULT. 50M)","5.37709395090739","miscellaneous","","689f6ea9d447e33526100c73","50","https://prod-platform-api.s3.amazonaws.com/components/689f6ea9d447e33526100c73/corrugado.png"
