MuiStack-root href,MuiBox-root src,MuiTypography-root,MuiTypography-root 2,MuiTypography-root 4,notranslate,MuiButtonBase-root 3
https://portalb2b.neosolar.com.br/novo-pedido/produto/23052,https://portal.zydon.com.br/api/files/9c81a27b-c13a-4d35-a3f3-c45f92482c88/content?ingress=portalb2b.neosolar.com.br,Controlador de Carga MPPT 20A 12/24V - Epever XTRA 2210N,"O Controlador de Carga MPPT Xtra da marca Epever trabalha em tensão de operação em 12/24V. Possui corrente de carga de 20A, além de display LCD programável. Garantia de 2 anos contra defeito de fabricação.","R$ 379,84",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23054,https://portal.zydon.com.br/api/files/ba8161ac-36e0-496e-80bf-138a898d3992/content?ingress=portalb2b.neosolar.com.br,Controlador de Carga MPPT 40A 12/24V - Epever XTRA 4210N,Controlador de Carga MPPT de 40A programável da marca Epever com tensão de operação de 12/24V. Garantia de 2 anos contra defeito de fabricação.,"R$ 613,04",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23053,https://portal.zydon.com.br/api/files/d20c38b2-90be-4c25-8f57-f8f232b80e93/content?ingress=portalb2b.neosolar.com.br,Controlador de Carga MPPT 30A 12/24V - Epever XTRA 3210N,"O Controlador de Carga MPPT Xtra da marca Epever trabalha em tensão de operação em 12/24V. Possui corrente de carga de 30A, além de display LCD programável. Garantia de 2 anos contra defeito de fabricação.","R$ 459,59",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/23055,https://portal.zydon.com.br/api/files/cf33c29c-9f1b-4794-985d-5c5d9adcb4ac/content?ingress=portalb2b.neosolar.com.br,Controlador de Carga MPPT 40A 12/24/36/48V - Epever XTRA 4415N,Controlador de Carga MPPT de 40A programável da marca Epever com tensão de operação de 12/24/36/48V. Garantia de 2 anos contra defeito de fabricação.,"R$ 817,73",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20134,https://portal.zydon.com.br/api/files/3d07b01d-a2f5-409e-b07d-d45cd9ddd7be/content?ingress=portalb2b.neosolar.com.br,Controlador de Carga PWM 10A 12/24V - Epever Landstar LS1024EU,"Controlador de Carga PWM de 10A da marca Epever com tensão de operação de 12/24V. Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação.","R$ 94,51",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20132,https://portal.zydon.com.br/api/files/3edd6059-7df2-4160-ad48-88de1088581e/content?ingress=portalb2b.neosolar.com.br,Controlador de Carga PWM 60A 12/24V - Epever Viewstar VS6024AU,Controlador de Carga PWM de 60A programável da marca Epever com tensão de operação de 12/24V. Garantia de 1 anos contra defeito de fabricação.,"R$ 376,00",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20127,https://portal.zydon.com.br/api/files/008637f7-b101-46b5-bb31-b43b64675fbb/content?ingress=portalb2b.neosolar.com.br,Controlador de Carga PWM 20A 12/24V - Epever Viewstar VS2024AU,"Controlador de Carga PWM de 20A da marca Epever com tensão de operação de 12/24V. Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação.","R$ 187,68",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20128,https://portal.zydon.com.br/api/files/2a790a46-fa35-4e90-9122-15fa9097ddff/content?ingress=portalb2b.neosolar.com.br,Controlador de Carga PWM 30A 12/24V - Epever Viewstar VS3024AU,Controlador de Carga PWM de 30A programável da marca Epever com tensão de operação de 12/24V. Garantia de 2 anos contra defeito de fabricação.,"R$ 272,97",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20135,https://portal.zydon.com.br/api/files/43a3fe7b-d421-4a6a-a0a3-84fb47cbc4e5/content?ingress=portalb2b.neosolar.com.br,Controlador de Carga PWM 20A 12/24V - Epever Landstar LS2024EU,"Controlador de Carga PWM de 20A da marca Epever com tensão de operação de 12/24V. Simples e fácil de instalar, com garantia de 2 anos contra defeito de fabricação.","R$ 116,54",​,
https://portalb2b.neosolar.com.br/novo-pedido/produto/20126,https://portal.zydon.com.br/api/files/eac7a8e3-7549-44b2-a9dd-e2b6c3a1153e/content?ingress=portalb2b.neosolar.com.br,Controlador de Carga PWM 10A 12/24V - Epever Viewstar VS1024AU,Controlador de Carga PWM de 10A programável da marca Epever com tensão de operação de 12/24V. Garantia de 2 anos contra defeito de fabricação.,"R$ 152,69",​,
